frame,t,nx,ny,nz,agree_deg
147,577461.805567,0.2994,-0.83441,-0.46272,4.51
148,577461.810414,0.28966,-0.83503,-0.46778,4.01
149,577461.812758,0.2815,-0.83732,-0.46867,4.1
150,577461.818713,0.27596,-0.83699,-0.47255,4.45
151,577461.821778,0.26886,-0.83766,-0.47543,4.12
152,577461.829439,0.25594,-0.84341,-0.47238,4.14
153,577461.834421,0.2444,-0.84849,-0.4694,3.91
154,577461.836853,0.24337,-0.8543,-0.45929,5.26
155,577461.843145,0.23664,-0.85037,-0.46998,4.1
156,577461.845258,0.22555,-0.85452,-0.4679,4.22
157,577461.85393,0.20556,-0.8667,-0.45451,3.88
158,577461.857956,0.20773,-0.86774,-0.45153,4.76
159,577461.861423,0.1892,-0.87404,-0.4475,4.59
160,577461.866939,0.18553,-0.8771,-0.44302,4.26
161,577461.869121,0.18344,-0.87954,-0.43903,4.17
162,577461.873944,0.18348,-0.88204,-0.43398,4.59
163,577461.885795,0.19427,-0.87568,-0.44209,4.43
164,577461.890278,0.20171,-0.8733,-0.44347,4.35
165,577461.893936,0.21052,-0.86614,-0.4533,3.4
166,577461.898532,0.22917,-0.8633,-0.44966,4.58
167,577461.905085,0.24624,-0.85636,-0.45389,4.59
168,577461.910195,0.26153,-0.85071,-0.45595,4.46
169,577461.912899,0.27388,-0.84623,-0.45704,4.36
170,577461.917817,0.29428,-0.837,-0.46135,4.86
171,577461.921101,0.30137,-0.83453,-0.46124,4.21
172,577461.929698,0.32125,-0.82377,-0.46713,4.8
173,577461.933618,0.32381,-0.82411,-0.46475,4.06
174,577461.937095,0.33784,-0.8186,-0.46449,4.4
175,577461.941951,0.34724,-0.81694,-0.46047,4.49
176,577461.94578,0.35441,-0.81637,-0.456,4.17
177,577461.949393,0.35784,-0.81281,-0.45967,3.41
178,577461.958631,0.36047,-0.81595,-0.45198,4.43
179,577461.961426,0.36554,-0.81461,-0.45033,3.44
180,577461.969621,0.36653,-0.82147,-0.43686,3.82
181,577461.974602,0.36436,-0.8189,-0.44346,4.06
182,577461.982318,0.36661,-0.82243,-0.43498,3.17
183,577461.985567,0.36346,-0.82603,-0.43078,3.23
184,577461.989497,0.36084,-0.8268,-0.4315,3.19
185,577461.994001,0.35574,-0.82807,-0.43329,3.12
186,577461.99747,0.35011,-0.82944,-0.43526,3.06
187,577462.005984,0.33426,-0.82464,-0.45633,2.45
188,577462.010162,0.31618,-0.81945,-0.47804,3.0
189,577462.013284,0.30046,-0.81363,-0.49772,3.33
190,577462.018387,0.30121,-0.80951,-0.50395,3.14
191,577462.021956,0.3003,-0.80772,-0.50735,3.38
192,577462.025301,0.30762,-0.80857,-0.50158,3.62
193,577462.034232,0.31623,-0.81444,-0.4865,3.68
194,577462.038141,0.32648,-0.81925,-0.47142,3.78
195,577462.041197,0.33798,-0.82534,-0.4523,3.38
196,577462.049662,0.33688,-0.84069,-0.42397,3.67
197,577462.059033,0.33847,-0.84278,-0.41852,2.8
198,577462.061757,0.32348,-0.84953,-0.41674,2.51
199,577462.065622,0.29991,-0.85883,-0.41529,2.75
200,577462.070652,0.28261,-0.86013,-0.42462,2.8
201,577462.073537,0.25726,-0.86395,-0.43291,2.76
202,577462.081604,0.25497,-0.85501,-0.4516,2.93
203,577462.08563,0.23329,-0.84589,-0.47963,5.04
204,577462.089415,0.22459,-0.83925,-0.4952,5.97
