# generated, 2026-09-04T03:29:05+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
60,431177.564307,431177.564307,6.9466,-2.5976,134.6855,43.2673,-12.7174,77.9686,0.668588,-0.150887,-0.728164,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.467,1.4619,42.2259,4.3962,0.9222,,,2.6817,0.3457,3.0273
61,431177.589044,431177.589044,6.9921,-2.6310,134.6555,43.5642,-13.2122,77.9686,0.670925,-0.157515,-0.724603,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.451,1.4619,42.2259,4.4784,0.9667,,,2.4408,0.4583,2.8992
62,431177.616727,431177.616727,6.9020,-2.8018,134.7930,43.8185,-14.6649,77.9686,0.669820,-0.175285,-0.721537,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.035,1.4619,42.2259,4.5039,1.0000,,,2.5297,0.3470,2.8766
63,431177.653254,431177.653254,6.9861,-2.5370,134.6461,43.6290,-13.3784,77.9686,0.671262,-0.159650,-0.723823,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.909,1.4619,42.2259,4.5809,0.9111,,,2.4929,0.4248,2.9177
64,431177.677223,431177.677223,6.9970,-2.6131,134.6432,43.7192,-13.4449,77.9686,0.672184,-0.160694,-0.722735,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.101,1.4619,42.2259,4.5127,0.9611,,,2.5030,0.3988,2.9017
65,431177.710623,431177.710623,6.9483,-2.7143,134.7310,43.8016,-14.2043,77.9686,0.671002,-0.169844,-0.721740,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.532,1.4619,42.2259,4.3747,1.0000,,,2.4235,0.3571,2.7806
66,431177.737934,431177.737934,6.9593,-2.6499,134.6882,43.5535,-13.1987,77.9686,0.670830,-0.157326,-0.724731,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.737,1.4619,42.2259,4.3506,0.9667,,,2.3917,0.3696,2.7612
67,431177.765942,431177.765942,6.9739,-2.5786,134.6796,43.4383,-13.0211,77.9686,0.669893,-0.154917,-0.726115,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.168,1.4619,42.2259,4.4424,0.9222,,,2.4847,0.3798,2.8645
68,431177.797665,431177.797665,6.9924,-2.7376,134.7043,43.2313,-12.9713,77.9686,0.667467,-0.153745,-0.728594,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.210,1.4619,42.2259,4.7085,1.0000,,,2.7150,0.4310,3.1460
69,431177.827266,431177.827266,6.9913,-2.6199,134.6737,43.6525,-13.6243,77.9686,0.670859,-0.162599,-0.723540,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.616,1.4619,42.2259,4.4248,0.9556,,,2.4833,0.5082,2.9915
