# generated, 2026-09-04T03:25:53+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
35,431176.775385,431176.775385,6.9714,-2.6096,134.6769,43.5067,-13.4459,77.9686,0.669570,-0.160080,-0.725293,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.101,1.4619,42.2259,4.3764,0.9333,,,3.3582,4.1305,7.4887
36,431176.803319,431176.803319,6.9205,-2.8028,134.7886,43.6537,-14.1791,77.9686,0.669267,-0.169092,-0.723526,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.526,1.4619,42.2259,4.3293,1.0000,,,3.1221,4.3570,7.4790
37,431176.828654,431176.828654,6.8886,-2.7188,134.7685,43.2499,-13.1185,77.9686,0.667300,-0.155512,-0.728372,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.834,1.4619,42.2259,4.2830,1.0000,,,3.3534,4.0866,7.4400
38,431176.856606,431176.856606,6.9317,-2.6042,134.7129,43.3164,-12.1577,77.9686,0.670641,-0.144479,-0.727576,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.662,1.4619,42.2259,4.4771,0.9278,,,3.2503,3.2842,6.5345
39,431176.884242,431176.884242,6.9627,-2.5148,134.6405,43.2337,-12.7911,77.9686,0.667977,-0.151652,-0.728566,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.442,1.4619,42.2259,4.5426,0.9111,,,3.1662,3.3214,6.4876
40,431176.908837,431176.908837,6.9764,-2.5726,134.6269,43.4150,-13.5874,77.9686,0.668042,-0.161461,-0.726395,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.576,1.4619,42.2259,4.4441,0.9222,,,3.1942,3.3723,6.5665
41,431176.932390,431176.932390,6.9832,-2.6522,134.7086,43.6431,-13.7790,77.9686,0.670302,-0.164381,-0.723653,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.264,1.4619,42.2259,4.2879,0.9722,,,3.0455,4.0661,7.1116
42,431176.965692,431176.965692,6.9237,-2.5887,134.7162,43.2762,-11.3693,77.9686,0.672064,-0.135137,-0.728058,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.698,1.4619,42.2259,4.4262,0.9167,,,3.3049,4.1197,7.4246
43,431176.993082,431176.993082,6.9280,-2.7790,134.7493,43.6620,-13.9308,77.9686,0.670096,-0.166215,-0.723425,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.804,1.4619,42.2259,4.3762,1.0000,,,3.1850,4.8435,8.0285
44,431177.020667,431177.020667,6.9799,-2.6153,134.6548,43.3960,-13.2601,77.9686,0.668719,-0.157587,-0.726623,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.533,1.4619,42.2259,4.4584,0.9444,,,3.0997,4.0270,7.1267
