# generated, 2026-09-01T15:53:21+00:00
# source, results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
35,431176.775385,431176.775385,7.0123,-2.6015,134.7066,43.5517,-12.7238,77.8613,0.672089,-0.151756,-0.724752,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.889,0.4641,39.8854,4.7531,0.9056,,,9.1123,4.1487,13.2610
36,431176.803319,431176.803319,7.0055,-2.5004,134.8496,42.9685,-10.6432,77.8613,0.669871,-0.125885,-0.731728,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.541,0.4641,39.8854,4.8978,0.8500,,,10.1916,3.4358,13.6275
37,431176.828654,431176.828654,7.2498,-2.4638,134.6573,42.4729,-15.1136,77.8613,0.651885,-0.176058,-0.737597,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,3.073,0.4641,39.8854,5.2418,0.8889,,,9.1409,4.3207,13.4616
38,431176.856606,431176.856606,7.2620,-2.5296,134.3512,44.9223,-16.2404,77.8613,0.677970,-0.197487,-0.708065,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.570,0.4641,39.8854,5.4779,0.8833,,,9.0573,4.1620,13.2193
39,431176.884242,431176.884242,6.9894,-2.5578,134.4949,44.5150,-14.9022,77.8613,0.677516,-0.180301,-0.713067,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.026,0.4641,39.8854,5.2231,0.9000,,,8.7642,3.6382,12.4024
40,431176.908837,431176.908837,7.0519,-2.5053,134.3606,44.5452,-13.8275,77.8613,0.681142,-0.167651,-0.712698,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.754,0.4641,39.8854,5.4839,0.8833,,,9.1764,3.3425,12.5190
41,431176.932390,431176.932390,6.8804,-2.5544,134.6443,43.8957,-11.5952,77.8613,0.679198,-0.139360,-0.720603,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.687,0.4641,39.8854,5.0204,0.8889,,,9.7902,3.4123,13.2025
42,431176.965692,431176.965692,6.9379,-2.3605,134.9995,42.2099,-9.5602,77.8613,0.662517,-0.111583,-0.740689,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.184,0.4641,39.8854,5.2767,0.8389,,,8.9223,4.6171,13.5394
43,431176.993082,431176.993082,7.0232,-2.4786,134.7659,43.0630,-12.2499,77.8613,0.667256,-0.144875,-0.730603,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.012,0.4641,39.8854,4.7973,0.8278,,,8.9425,4.6790,13.6214
44,431177.020667,431177.020667,6.9611,-2.5409,134.8948,42.8392,-9.1940,77.8613,0.671208,-0.108640,-0.733265,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.094,0.4641,39.8854,5.1773,0.8889,,,9.5417,3.6993,13.2410
