d,tilt_deg,f,amp,pitch,model,phase_err_deg,z_eq,k_z,G_n,C_grad,C_grad_fixed_m,C_tilt,C_net,k_z_fixed_m,trace_resid,trace_resid_fixed_m,B_mean,lock,ellipticity,kappa_t,Omega_align,lambda_grad,R,max_re_root,clearance,stage,axis,factor
0.034,4.0,125.0,1.25,0.021,dipole,0.0,0.0167385231195454,-0.1217848259085448,12.202338448340994,0.0609759564894981,0.0609759559316318,0.0129174985962159,0.073893455085714,-0.1219519887007877,0.0001670870704513,-7.683752394072042e-08,0.0055507844385207,0.2329151279990569,1.0,9.785925103887057e-06,3.710671493094376,27.012418158376573,0.1373690971070538,26.973664802569797,0.0043004326180607,A,,
0.034,4.0,130.0,1.25,0.021,dipole,0.0,0.0175175611408189,-0.103748621129148,16.901615200981677,0.0520650854121491,0.0520650848972374,0.0193521955998669,0.0714172810120161,-0.1041302525853752,0.0003815496951501,-8.279090032980997e-08,0.0054880237905382,0.2548019530294928,1.0,9.620522467563751e-06,3.5076474719173425,24.96073938886178,0.1405265852614349,24.97376033931377,0.0050794706393342,A,,
0.034,6.0,60.0,1.25,0.021,dipole,0.0,0.0128237951684639,-0.2275078748428501,-30.647290305724628,0.1137831093731336,0.113783109250506,-0.0074749779071786,0.1063081314659549,-0.2275661786788822,5.834390341710738e-05,3.9822129899169674e-08,0.005191209540358,0.0573807175360313,1.0,9.395321330285804e-06,7.422001211486805,36.89971842369278,0.2011397790700008,36.75448982313373,-0.0003110434092078,A,,
0.034,6.0,65.0,1.25,0.021,dipole,0.0,0.0130100130932712,-0.2235633649797896,-28.25546681526178,0.1118156626366788,0.1118156624774527,-0.0080880630944481,0.1037275995422307,-0.2236312924804527,6.79602935680923e-05,3.2474452710262725e-08,0.0052197521687328,0.0669744048614929,1.0,9.441323719608114e-06,6.88462303129426,36.57930706576126,0.1882108652008436,36.43611501427265,-0.0001248254844004,A,,
0.034,6.0,70.0,1.25,0.021,dipole,0.0,0.0132148440083034,-0.2190952312295269,-25.710357853543385,0.1095852716276086,0.109585271426765,-0.0085353145744546,0.101049957053154,-0.2191705182403593,7.531202569044382e-05,2.4613170723775113e-08,0.0052486734336515,0.0772464555487893,1.0,9.486569134982696e-06,6.423500603956129,36.212645029345154,0.1773828064409767,36.0717902464212,8.000543063172924e-05,A,,
0.034,6.0,75.0,1.25,0.021,dipole,0.0,0.013439605202901,-0.2140546025547316,-23.016216013245664,0.1070668840394354,0.1070668837925952,-0.0087714578765368,0.0982954261628985,-0.2141337513135432,7.916552413916866e-05,1.6271647224064267e-08,0.0052774836760652,0.0881916892682029,1.0,9.529949515750702e-06,6.022682513119168,35.79412374050781,0.1682589733661608,35.65593214634742,0.0003047666252293,A,,
0.034,6.0,80.0,1.25,0.021,dipole,0.0,0.0136859384186842,-0.2083872567734836,-20.17614398042552,0.1042328344198139,0.1042328341235604,-0.0087484975163114,0.0954843369035024,-0.2084656607546345,7.84120661441734e-05,7.492486381321939e-09,0.0053056214792411,0.0998103881481124,1.0,9.570208414835813e-06,5.670117281150928,35.3172132094063,0.1605482643132432,35.18205873905148,0.0005510998410125,A,,
0.034,6.0,85.0,1.25,0.021,dipole,0.0,0.0139559035808496,-0.2020324686056047,-17.191786185557632,0.1010523727106962,0.1010523723629121,-0.0084153887498361,0.09263698396086,-0.2021047463957731,7.227681578772516e-05,-1.6699488181171063e-09,0.0053324351416738,0.1121099871629033,0.9999999886915256,9.605904476296088e-06,5.356485962534162,34.774221084752675,0.154036116279332,34.64255573246833,0.0008210650031779,A,,
0.034,6.0,90.0,1.25,0.021,dipole,0.0,0.0142521085327694,-0.1949214230436536,-14.062958087930216,0.0974910071876564,0.0974910067878731,-0.0077175069942072,0.0897735001934491,-0.194982024722537,6.059133165922659e-05,-1.1146790823701735e-08,0.00535715617069,0.1251073269722042,1.0,9.63535896714111e-06,5.074415475051923,34.155954935331216,0.1485660548697733,34.0283516459381,0.0011172699550976,A,,
0.034,6.0,95.0,1.25,0.021,dipole,0.0,0.0145778972221487,-0.1869749322124198,-10.787136872847755,0.0935095407512188,0.0935095403009765,-0.0065958190144307,0.0869137217367881,-0.1870191014533624,4.4149290017919673e-05,-2.0851409349154082e-08,0.0053788610666315,0.1388317880276703,1.0,9.656579902458503e-06,4.817928674473166,33.45123184596808,0.1440284380754091,33.3284496509071,0.0014430586444769,A,,
0.034,6.0,100.0,1.25,0.021,dipole,0.0,0.0149376273615309,-0.1781001751073395,-7.3587647863389485,0.0890626775329991,0.0890626770362193,-0.0049856323759498,0.0840770451570493,-0.17812538474628,2.517995865874978e-05,-3.067384124477712e-08,0.0053964143909839,0.1533298608235295,1.0,9.667148887439418e-06,4.582041735363364,32.64615415324776,0.1403547172464578,32.52924251874659,0.0018027887838591,A,,
0.034,6.0,105.0,1.25,0.021,dipole,0.0,0.0153371014547455,-0.1681857756085776,-3.7681879990093887,0.0840968876486734,0.0840968871120491,-0.0028146635606355,0.0812822240880379,-0.1681938146976755,7.999688769244617e-06,-4.0473577322952536e-08,0.0054083815022778,0.1686721235459825,1.0,9.664047565854204e-06,4.3624493036869625,31.72299004547337,0.1375169647449248,31.61346540605861,0.0022022628770737,A,,
0.034,6.0,110.0,1.25,0.021,dipole,0.0,0.0157842644894737,-0.1570941133335444,1.857365605285083e-05,0.0785470333319679,0.0785470327653829,1.5226430333226293e-08,0.0785470485583982,-0.1570941155998883,-4.666960859434077e-08,-5.0069122403684225e-08,0.0054128884947404,0.1849644744514472,1.0,9.643379125662216e-06,4.155250297890806,30.658368973752193,0.1355339646883458,30.558532114870236,0.002649425911802,A,,
0.034,6.0,115.0,1.25,0.021,dipole,0.0,0.0162903967426184,-0.1446487061007586,3.969841457246824,0.072330785328855,0.0723307847458557,0.0035570025286575,0.0758877878575125,-0.1446616287134693,1.2864556951375228e-05,-5.922175791428509e-08,0.0054073846281078,0.2023673533599519,1.0,9.599896181181098e-06,3.95666543686264,29.42020831777153,0.1344880156566594,29.333758055579345,0.0031555581649466,A,,
0.034,6.0,120.0,1.25,0.021,dipole,0.0,0.0168723211143919,-0.1306116674634855,8.17894011533892,0.0653385643603922,0.0653385637787568,0.0079794847839941,0.0733180491443864,-0.1306771951632883,6.54612572988933e-05,-6.760577467290751e-08,0.0053882092607003,0.2211312247861165,0.9999999889244252,9.526140765596336e-06,3.762672175731699,27.96204608872293,0.1345635495983672,27.895380414828075,0.0037374825367202,A,,
0.034,6.0,125.0,1.25,0.021,dipole,0.0,0.0175568972409559,-0.1146396082059164,12.688849142226466,0.0574137497108328,0.0574137491533402,0.0134325229279795,0.0708462726388123,-0.1148275730638919,0.0001878912157491,-7.475721143512803e-08,0.0053497208987988,0.2416689940373339,1.0,9.410716180891269e-06,3.568398070833858,26.21151413680152,0.1361385707139959,26.176846798019252,0.0044220586632842,A,,
0.034,6.0,130.0,1.25,0.021,dipole,0.0,0.0183915746163423,-0.0961839481309424,17.60853413067233,0.0483077085175311,0.0483077080131898,0.0201616113413771,0.0684693198589082,-0.0966154959857016,0.0004314689041197,-7.995932185811405e-08,0.0052822826047986,0.2647263095751732,1.0,9.234292948527297e-06,3.366827989337709,24.04320569268572,0.1400324080063061,24.06743093128246,0.0052567360386706,A,,
