Time,Channel A
(s),(V)

2.38666722,0.04629060
2.40000056,0.00000000
2.41333390,0.00000000
2.42666723,0.00000000
2.44000057,0.00000000
2.45333391,0.04629060
2.46666724,0.04629060
2.48000058,0.04629060
2.49333392,0.04629060
2.50666725,0.09273499
2.52000059,0.04629060
2.53333393,0.04629060
2.54666726,0.04629060
2.56000060,0.04629060
2.57333393,0.04629060
2.58666727,0.00000000
2.60000061,0.00000000
2.61333394,0.00000000
2.62666728,0.00000000
2.64000062,0.00000000
2.65333395,0.04629060
2.66666729,0.04629060
2.68000063,0.04629060
2.69333396,0.04629060
2.70666730,0.09273499
2.72000064,0.04629060
2.73333397,0.04629060
2.74666731,0.04629060
2.76000065,0.04629060
2.77333398,0.04629060
2.78666732,0.04629060
2.80000065,0.00000000
2.81333399,0.00000000
2.82666733,0.04629060
2.84000066,0.04629060
2.85333400,0.04629060
2.86666734,0.04629060
2.88000067,0.04629060
2.89333401,0.04629060
2.90666735,0.09273499
2.92000068,0.04629060
2.93333402,0.09273499
2.94666736,0.04629060
2.96000069,0.04629060
2.97333403,0.04629060
2.98666736,0.04629060
3.00000070,0.00000000
3.01333404,0.00000000
3.02666737,0.04629060
3.04000071,0.04629060
3.05333405,0.04629060
3.06666738,0.04629060
3.08000072,0.09273499
3.09333406,0.09273499
3.10666739,0.09273499
3.12000073,0.09273499
3.13333407,0.09273499
3.14666740,0.09273499
3.16000074,0.04629060
3.17333408,0.04629060
3.18666741,0.04629060
3.20000075,0.00000000
3.21333408,0.00000000
3.22666742,0.04629060
3.24000076,0.04629060
3.25333409,0.04629060
3.26666743,0.09273499
3.28000077,0.09273499
3.29333410,0.09273499
3.30666744,0.09273499
3.32000078,0.09273499
3.33333411,0.09273499
3.34666745,0.09273499
3.36000079,0.09273499
3.37333412,0.09273499
3.38666746,0.09273499
3.40000079,0.00000000
3.41333413,0.00000000
3.42666747,0.00000000
3.44000080,0.04629060
3.45333414,0.09273499
3.46666748,0.09273499
3.48000081,0.09273499
3.49333415,0.09273499
3.50666749,0.13917938
3.52000082,0.13917938
3.53333416,0.09273499
3.54666750,0.09273499
3.56000083,0.09273499
3.57333417,0.09273499
3.58666751,0.09273499
3.60000084,0.00000000
3.61333418,0.00000000
3.62666751,0.04629060
3.64000085,0.04629060
3.65333419,0.09273499
3.66666752,0.09273499
3.68000086,0.13917938
3.69333420,0.13917938
3.70666753,0.13917938
3.72000087,0.09273499
3.73333421,0.13917938
3.74666754,0.09273499
3.76000088,0.09273499
3.77333422,0.09273499
3.78666755,0.09273499
3.80000089,0.00000000
3.81333422,0.00000000
3.82666756,0.04629060
3.84000090,0.09273499
3.85333423,0.04629060
3.86666757,0.13917938
3.88000091,0.09273499
3.89333424,0.09273499
3.90666758,0.13917938
3.92000092,0.13917938
3.93333425,0.13917938
3.94666759,0.13917938
3.96000093,0.09273499
3.97333426,0.09273499
3.98666760,0.09273499
4.00000094,0.00000000
4.01333427,0.00000000
4.02666761,0.04629060
4.04000094,0.04629060
4.05333428,0.09273499
4.06666762,0.09273499
4.08000095,0.13917938
4.09333429,0.13917938
4.10666763,0.13917938
4.12000096,0.13917938
4.13333430,0.13917938
4.14666764,0.18546999
4.16000097,0.13917938
4.17333431,0.09273499
4.18666765,0.09273499
4.20000098,0.00000000
4.21333432,0.00000000
4.22666765,0.04629060
4.24000099,0.04629060
4.25333433,0.09273499
4.26666766,0.09273499
4.28000100,0.18546999
4.29333434,0.13917938
4.30666767,0.18546999
4.32000101,0.13917938
4.33333435,0.13917938
4.34666768,0.18546999
4.36000102,0.13917938
4.37333436,0.09273499
4.38666769,0.09273499
4.40000103,0.00000000
4.41333437,0.00000000
4.42666770,0.04629060
4.44000104,0.09273499
4.45333437,0.09273499
4.46666771,0.13917938
4.48000105,0.13917938
4.49333438,0.18546999
4.50666772,0.18546999
4.52000106,0.13917938
4.53333439,0.18546999
4.54666773,0.18546999
4.56000107,0.13917938
4.57333440,0.13917938
4.58666774,0.13917938
4.60000108,0.00000000
4.61333441,0.00000000
4.62666775,0.04629060
4.64000108,0.09273499
4.65333442,0.13917938
4.66666776,0.13917938
4.68000109,0.18546999
4.69333443,0.18546999
4.70666777,0.18546999
4.72000110,0.13917938
4.73333444,0.13917938
4.74666778,0.18546999
4.76000111,0.18546999
4.77333445,0.13917938
4.78666779,0.09273499
4.80000112,0.00000000
4.81333446,0.00000000
4.82666779,0.09273499
4.84000113,0.09273499
4.85333447,0.13917938
4.86666780,0.18546999
4.88000114,0.18546999
4.89333448,0.18546999
4.90666781,0.18546999
4.92000115,0.18546999
4.93333449,0.18546999
4.94666782,0.18546999
4.96000116,0.18546999
4.97333450,0.13917938
4.98666783,0.09273499
5.00000117,0.00000000
5.01333451,0.04629060
5.02666784,0.09273499
5.04000118,0.09273499
5.05333451,0.13917938
5.06666785,0.18546999
5.08000119,0.18546999
5.09333452,0.18546999
5.10666786,0.18546999
5.12000120,0.18546999
5.13333453,0.18546999
5.14666787,0.18546999
5.16000121,0.13917938
5.17333454,0.13917938
5.18666788,0.13917938
5.20000122,0.00000000
5.21333455,0.00000000
5.22666789,0.04629060
5.24000122,0.09273499
5.25333456,0.13917938
5.26666790,0.18546999
5.28000123,0.18546999
5.29333457,0.18546999
5.30666791,0.23191437
5.32000124,0.18546999
5.33333458,0.18546999
5.34666792,0.18546999
5.36000125,0.18546999
5.37333459,0.13917938
5.38666793,0.13917938
5.40000126,0.00000000
5.41333460,0.00000000
5.42666794,0.04629060
5.44000127,0.13917938
5.45333461,0.13917938
5.46666794,0.18546999
5.48000128,0.18546999
5.49333462,0.18546999
5.50666795,0.23191437
5.52000129,0.23191437
5.53333463,0.23191437
5.54666796,0.18546999
5.56000130,0.18546999
5.57333464,0.18546999
5.58666797,0.13917938
5.60000131,0.00000000
5.61333465,0.00000000
5.62666798,0.04629060
5.64000132,0.09273499
5.65333465,0.18546999
5.66666799,0.18546999
5.68000133,0.23191437
5.69333466,0.18546999
5.70666800,0.23191437
5.72000134,0.27835876
5.73333467,0.23191437
5.74666801,0.23191437
5.76000135,0.18546999
5.77333468,0.18546999
5.78666802,0.13917938
5.80000136,0.00000000
5.81333469,0.00000000
5.82666803,0.04629060
5.84000137,0.13917938
5.85333470,0.18546999
5.86666804,0.18546999
5.88000137,0.23191437
5.89333471,0.23191437
5.90666805,0.23191437
5.92000138,0.27835876
5.93333472,0.23191437
5.94666806,0.23191437
5.96000139,0.18546999
5.97333473,0.18546999
5.98666807,0.13917938
6.00000140,0.00000000
6.01333474,0.00000000
6.02666808,0.04629060
6.04000141,0.09273499
6.05333475,0.18546999
6.06666808,0.23191437
6.08000142,0.23191437
6.09333476,0.27835876
6.10666809,0.27835876
6.12000143,0.27835876
6.13333477,0.27835876
6.14666810,0.27835876
6.16000144,0.23191437
6.17333478,0.18546999
6.18666811,0.18546999
6.20000145,0.00000000
6.21333479,0.00000000
6.22666812,0.04629060
6.24000146,0.13917938
6.25333480,0.18546999
6.26666813,0.23191437
6.28000147,0.23191437
6.29333480,0.27835876
6.30666814,0.27835876
6.32000148,0.27835876
6.33333481,0.27835876
6.34666815,0.23191437
6.36000149,0.23191437
6.37333482,0.18546999
6.38666816,0.13917938
6.40000150,0.00000000
6.41333483,0.00000000
6.42666817,0.09273499
6.44000151,0.13917938
6.45333484,0.18546999
6.46666818,0.23191437
6.48000151,0.23191437
6.49333485,0.27835876
6.50666819,0.27835876
6.52000152,0.27835876
6.53333486,0.27835876
6.54666820,0.27835876
6.56000153,0.23191437
6.57333487,0.23191437
6.58666821,0.18546999
6.60000154,0.04629060
6.61333488,0.00000000
6.62666822,0.09273499
6.64000155,0.13917938
6.65333489,0.23191437
6.66666823,0.23191437
6.68000156,0.27835876
6.69333490,0.32464936
