# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
32,664711.076959,664711.076959,1.1286,3.5823,21.7866,51.4119,105.0734,11.5987,-0.203273,0.754756,-0.623717,-0.8138,2.0985,-7.1988,627.590,453.901,1430.724,777.513,11.599,519813.0,41.0488,107.844,2,0.133,4.8547,0.3691,5.2238
33,664711.084247,664711.084247,1.1226,3.5827,21.7688,51.5313,105.1831,11.7184,-0.205058,0.755618,-0.622087,-0.8157,1.9470,-6.0227,627.671,454.200,1432.471,775.930,11.718,519888.0,40.8906,108.082,2,0.147,4.6995,0.3780,5.0775
34,664711.092661,664711.092661,1.1302,3.4710,22.0514,51.2525,104.1492,10.7931,-0.190648,0.756251,-0.625890,-0.5018,-0.9255,5.3195,622.435,445.217,1409.860,774.836,10.793,520237.0,44.1908,107.133,2,0.855,5.1874,0.3572,5.5446
35,664711.100243,664711.100243,1.1053,3.5491,21.7524,52.1139,105.4907,12.0909,-0.210790,0.760563,-0.614093,-0.7993,-0.5020,-0.9956,627.550,452.984,1435.538,767.044,12.091,519990.0,42.7781,109.100,2,1.360,4.6244,0.3994,5.0238
36,664711.108270,664711.108270,1.1226,3.5788,21.7686,51.5320,105.1338,11.6745,-0.204409,0.755802,-0.622078,-0.4400,0.4430,-2.8415,627.526,453.872,1432.461,776.042,11.675,519856.0,40.7153,108.071,2,0.646,5.3229,0.5457,5.8685
37,664711.116924,664711.116924,1.1586,3.4947,22.0671,50.7251,103.6719,10.2583,-0.182971,0.752183,-0.633042,0.6301,-1.0250,7.0682,622.875,445.803,1407.137,782.714,10.258,520161.0,39.4594,106.203,2,1.395,5.9550,0.3748,6.3298
38,664711.124471,664711.124471,1.1258,3.5843,21.7706,51.4567,105.0998,11.6299,-0.203748,0.755133,-0.623106,0.3242,0.3846,-0.3988,627.632,454.125,1432.082,777.144,11.630,519862.0,40.9005,107.944,2,1.330,5.5711,0.5135,6.0845
39,664711.132781,664711.132781,1.3596,3.5420,22.0663,50.1286,104.9906,11.0007,-0.198517,0.741366,-0.641067,5.2359,0.1044,6.2595,641.241,449.343,1407.051,795.907,11.001,520099.0,39.0460,104.773,2,1.331,7.3279,0.4497,7.7776
40,664711.141729,664711.141729,1.9149,3.7304,23.3092,44.3541,112.6587,15.9488,-0.269319,0.645132,-0.715033,19.2638,4.2129,47.2159,683.224,465.965,1312.925,858.485,15.949,519399.0,31.2691,92.020,2,8.058,7.2804,1.1417,8.4222
41,664711.150734,664711.150734,1.1508,3.4952,22.0711,50.7468,103.8890,10.4687,-0.185878,0.751717,-0.632749,4.4054,-0.1054,8.1426,622.903,446.041,1406.929,782.390,10.469,519811.0,41.3881,106.224,2,9.086,6.5982,0.6141,7.2123
