# generated, 2026-08-28T22:18:44+00:00
# source, /Users/meli/Desktop/Kevin/UCB/FlyingRobotsLinLiweiLab/ESP32_PMW/results/flights/2026-08-28_135533
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
118,359024.120401,359024.120401,2.1760,0.5349,-2.0617,4.1428,-15.6034,95.1431,0.069581,-0.019432,0.997387,,,,631.694,380.400,410.882,345.914,95.143,47670.0,1.2913,64.963,2,0.442,37.4971,4.8832,42.3803
119,359024.144394,359024.144394,1.5668,-0.0645,-1.5738,3.1748,-3.5006,92.0865,0.055279,-0.003382,0.998465,,,,626.632,393.357,413.466,352.098,92.087,48519.0,1.1486,62.863,2,1.233,44.4676,3.6727,48.1403
120,359024.161362,359024.161362,1.4810,-0.4975,-1.3434,3.3864,14.7831,89.9523,0.057114,0.015072,0.998254,,,,627.663,402.409,414.326,352.417,89.952,48854.0,1.2552,63.083,2,1.063,36.5233,4.8026,41.3260
121,359024.181450,359024.181450,1.6589,-1.1034,-1.1811,3.6669,37.2140,86.8474,0.050933,0.038680,0.997953,,,,632.573,417.419,414.797,353.804,86.847,48754.0,1.3009,62.566,2,1.398,38.8642,4.6216,43.4858
122,359024.199975,359024.199975,1.9124,-1.6118,-1.2981,3.7079,57.5896,84.0069,0.034662,0.054597,0.997907,,,,635.787,426.119,414.247,354.115,84.007,48627.0,1.3861,62.159,2,1.304,40.3844,5.5636,45.9480
172,359025.189949,359025.189949,2.2642,-1.9578,-11.8023,29.1785,173.6090,88.4057,-0.484502,0.054269,-0.873105,,,,533.835,419.895,385.936,216.712,88.406,33696.0,1.2717,111.500,2,27.735,37.3032,5.6115,42.9148
173,359025.207243,359025.207243,1.9108,-1.3016,-11.3887,85.9801,-179.4642,88.5607,-0.997496,-0.009329,0.070102,,,,548.952,412.842,386.020,220.973,88.561,33904.0,1.1055,109.978,2,65.066,44.1427,2.9337,47.0764
174,359025.223806,359025.223806,3.3715,-1.0331,-11.9536,27.6558,179.2401,89.6287,-0.464119,0.006156,-0.885752,,,,551.699,409.409,383.431,218.804,89.629,34001.0,1.1809,110.229,2,66.371,39.6675,6.6167,46.2842
175,359025.249965,359025.249965,3.7078,-0.5755,-11.7782,26.9329,-178.9417,90.4859,-0.452869,-0.008366,-0.891538,,,,559.584,400.371,383.011,222.913,90.486,34038.0,1.1685,108.632,2,1.104,55.6552,6.9711,62.6262
176,359025.265354,359025.265354,3.7364,-0.3097,-11.7347,26.8795,-177.8923,91.3212,-0.451809,-0.016628,-0.891960,,,,560.536,395.040,382.985,223.589,91.321,34287.0,1.2043,108.377,2,0.478,129.8738,4.8900,134.7638
