index,t_capture,skew_s,t_a,t_b
39469,585383.830242,0.001401,585383.830942,585383.829541
39470,585383.835127,0.000990,585383.834632,585383.835622
39471,585383.838103,0.000218,585383.837994,585383.838212
39472,585383.841195,0.000745,585383.840822,585383.841568
39473,585383.847726,0.003167,585383.846143,585383.849310
39474,585383.853064,0.000647,585383.852741,585383.853388
39475,585383.856506,0.000589,585383.856212,585383.856800
39476,585383.861019,0.000641,585383.860698,585383.861339
39477,585383.864639,0.000680,585383.864299,585383.864979
39478,585383.871429,0.003194,585383.869832,585383.873026
39479,585383.877464,0.000601,585383.877164,585383.877765
39480,585383.880626,0.000590,585383.880330,585383.880921
39481,585383.885069,0.000882,585383.884628,585383.885510
39482,585383.889296,0.000588,585383.889002,585383.889590
39483,585383.893049,0.000678,585383.893388,585383.892710
39484,585383.901254,0.000730,585383.901619,585383.900889
39485,585383.905098,0.000903,585383.905550,585383.904646
39486,585383.908955,0.000856,585383.908527,585383.909384
39487,585383.913793,0.000705,585383.914146,585383.913440
39488,585383.916986,0.000708,585383.917340,585383.916631
39489,585383.923905,0.004828,585383.921491,585383.926319
39490,585383.935163,0.000811,585383.934758,585383.935569
39491,585383.936125,0.000162,585383.936044,585383.936206
39492,585383.939696,0.001237,585383.940315,585383.939077
39493,585383.942778,0.003885,585383.944721,585383.940835
39494,585383.951099,0.004968,585383.953583,585383.948615
39495,585383.958678,0.000570,585383.958963,585383.958393
39496,585383.964558,0.000830,585383.964143,585383.964973
39497,585383.965473,0.000249,585383.965348,585383.965597
39498,585383.969552,0.001318,585383.968893,585383.970211
39499,585383.975602,0.000624,585383.975914,585383.975290
39500,585383.979768,0.000849,585383.980193,585383.979344
39501,585383.983778,0.000871,585383.984214,585383.983343
39502,585383.987911,0.000852,585383.987485,585383.988337
39503,585383.992055,0.000927,585383.991592,585383.992519
39504,585383.999768,0.000968,585384.000252,585383.999284
39505,585384.004393,0.000726,585384.004756,585384.004030
39506,585384.008660,0.000809,585384.008256,585384.009064
39507,585384.012884,0.000534,585384.012617,585384.013151
39508,585384.016222,0.000635,585384.016539,585384.015904
39509,585384.022956,0.003150,585384.021381,585384.024531
39510,585384.028753,0.000646,585384.028430,585384.029076
39511,585384.033677,0.000951,585384.034153,585384.033201
39512,585384.037871,0.000222,585384.037760,585384.037982
39513,585384.043090,0.000300,585384.042940,585384.043239
39514,585384.046455,0.000696,585384.046803,585384.046108
39515,585384.052794,0.000777,585384.052405,585384.053182
39516,585384.056912,0.000715,585384.056554,585384.057269
39517,585384.060198,0.000509,585384.060452,585384.059944
39518,585384.064457,0.000668,585384.064123,585384.064792
39519,585384.068719,0.000724,585384.069081,585384.068357
39520,585384.074827,0.003668,585384.072993,585384.076661
39521,585384.080375,0.000696,585384.080723,585384.080027
39522,585384.084560,0.000625,585384.084872,585384.084247
39523,585384.088689,0.000650,585384.088364,585384.089014
39524,585384.092887,0.000676,585384.092549,585384.093225
39525,585384.096291,0.000705,585384.096644,585384.095939
39526,585384.104543,0.000570,585384.104258,585384.104827
39527,585384.109108,0.000529,585384.109373,585384.108843
39528,585384.112461,0.000711,585384.112817,585384.112105
39529,585384.116748,0.000716,585384.116390,585384.117106
39530,585384.120711,0.000498,585384.120462,585384.120960
39531,585384.128843,0.000698,585384.128493,585384.129192
39532,585384.132751,0.000665,585384.132418,585384.133083
39533,585384.136758,0.000744,585384.136386,585384.137131
39534,585384.141724,0.000873,585384.141288,585384.142161
39535,585384.145426,0.000722,585384.145065,585384.145787
39536,585384.151799,0.004764,585384.149417,585384.154181
39537,585384.158330,0.000314,585384.158174,585384.158487
39538,585384.160523,0.000641,585384.160202,585384.160843
39539,585384.165098,0.000549,585384.165372,585384.164823
39540,585384.168416,0.000785,585384.168024,585384.168809
39541,585384.172975,0.000692,585384.173321,585384.172629
39542,585384.180483,0.000665,585384.180816,585384.180150
39543,585384.184959,0.000925,585384.184497,585384.185422
39544,585384.189024,0.000933,585384.188557,585384.189490
39545,585384.192763,0.000731,585384.193129,585384.192398
39546,585384.197090,0.000783,585384.196699,585384.197482
39547,585384.206384,0.001784,585384.207276,585384.205492
39548,585384.212155,0.000720,585384.212515,585384.211795
39549,585384.214611,0.000710,585384.214966,585384.214256
39550,585384.219936,0.002459,585384.218707,585384.221165
39551,585384.223728,0.001584,585384.224520,585384.222937
39552,585384.228058,0.003355,585384.226380,585384.229736
39553,585384.233007,0.000879,585384.232567,585384.233447
39554,585384.242938,0.000177,585384.243026,585384.242849
39555,585384.246121,0.000393,585384.246318,585384.245924
39556,585384.246924,0.000643,585384.247245,585384.246603
39557,585384.251614,0.004706,585384.249261,585384.253968
39558,585384.256506,0.000682,585384.256847,585384.256165
39559,585384.260821,0.000664,585384.261153,585384.260489
39560,585384.265109,0.000696,585384.264761,585384.265457
39561,585384.268547,0.000714,585384.268191,585384.268904
39562,585384.273475,0.000837,585384.273893,585384.273056
39563,585384.280095,0.004892,585384.277649,585384.282541
39564,585384.284481,0.000632,585384.284164,585384.284797
39565,585384.289045,0.000644,585384.289367,585384.288723
39566,585384.292219,0.000634,585384.291902,585384.292536
39567,585384.296846,0.000592,585384.296550,585384.297142
39568,585384.303425,0.004345,585384.301253,585384.305598
39569,585384.309592,0.000689,585384.309937,585384.309248
39570,585384.313057,0.000935,585384.312589,585384.313524
39571,585384.317096,0.000567,585384.317379,585384.316813
39572,585384.320489,0.000854,585384.320916,585384.320062
39573,585384.324770,0.000626,585384.324456,585384.325083
