# skew_n, 2098
# skew_median_ms, 5.565667001064867
# skew_p95_ms, 20.29014380386796
# skew_max_ms, 120.10079098399729
# skew_dropped, 1180
index,t_capture
226,183740.588954
227,183740.669853
228,183740.750075
229,183740.868697
230,183740.953913
231,183741.038288
232,183741.124327
233,183741.228291
234,183741.331613
235,183741.436732
236,183741.557013
237,183741.656391
238,183741.739702
239,183741.826497
240,183741.964387
241,183742.070111
242,183742.161155
243,183742.417436
244,183742.491843
245,183742.572115
246,183742.651886
247,183742.747707
248,183742.836468
249,183742.911385
250,183742.997236
251,183743.084843
252,183743.188028
253,183743.277295
254,183743.388383
255,183743.492321
256,183743.605428
257,183743.726114
258,183743.804519
259,183743.894383
260,183743.977310
261,183744.070017
262,183744.153219
263,183744.238132
264,183744.319509
265,183744.427506
266,183744.531804
267,183744.611321
268,183744.693067
269,183744.764167
270,183744.878772
271,183744.963954
272,183745.044260
273,183745.148505
274,183745.227826
275,183745.308721
276,183745.419341
277,183745.590800
278,183745.699296
279,183745.783471
280,183746.100702
281,183746.172795
282,183746.270409
283,183746.372190
284,183746.468417
285,183746.555820
286,183746.639109
287,183746.788407
288,183746.868888
289,183746.988585
290,183747.062720
291,183747.163961
292,183747.287620
293,183747.427847
294,183747.516099
295,183747.599155
296,183747.709175
297,183747.773158
298,183747.906256
299,183747.991754
300,183748.071164
301,183748.178246
302,183748.296519
303,183748.404520
304,183748.492137
305,183748.581161
306,183748.780632
307,183748.867611
308,183748.955203
309,183749.061314
310,183749.175600
311,183749.260667
312,183749.371444
313,183749.461129
314,183749.555940
315,183749.637045
316,183749.736337
317,183749.820017
318,183749.915653
319,183750.005318
320,183750.096448
321,183750.195936
322,183750.284709
323,183750.365383
324,183750.468582
325,183750.583154
326,183750.678361
327,183750.759190
328,183750.899801
329,183750.981731
330,183751.091538
331,183751.219833
332,183751.363512
333,183751.452134
334,183751.556581
335,183751.670224
336,183751.776619
337,183751.876290
338,183751.966246
339,183752.060871
340,183752.140688
341,183752.277669
342,183752.363782
343,183752.444405
344,183752.531775
345,183752.612158
346,183752.692279
347,183752.803333
348,183752.907967
349,183752.996227
350,183753.076864
351,183753.155621
352,183753.260392
353,183753.340174
354,183753.420585
355,183753.499268
356,183753.619795
357,183753.698060
358,183753.788098
359,183753.893022
360,183753.977948
361,183754.068082
362,183754.148003
363,183754.237291
364,183754.331325
365,183754.437924
366,183754.565690
367,183754.645099
368,183754.793468
369,183754.961067
370,183755.044428
371,183755.168148
372,183755.252054
373,183755.347559
374,183755.426070
375,183755.508930
376,183755.587723
377,183755.676969
378,183755.764889
379,183755.874491
380,183755.955225
381,183756.039509
382,183756.171626
383,183756.251044
384,183756.331753
385,183756.444174
386,183756.531992
387,183756.621186
388,183756.724140
389,183756.810007
390,183756.915488
391,183757.002903
392,183757.076397
393,183757.156917
394,183757.244316
395,183757.324284
396,183757.444054
397,183757.581785
398,183757.667770
399,183757.747631
400,183757.835881
401,183757.939775
402,183758.020159
403,183758.123851
404,183758.228516
405,183758.308148
406,183758.395638
407,183758.474357
408,183758.564058
409,183758.676767
410,183758.781510
411,183758.869649
412,183758.947921
413,183759.044742
414,183759.134082
415,183759.211451
416,183759.283229
417,183759.372964
418,183759.467657
419,183759.563567
420,183759.636149
421,183759.732202
422,183759.818376
423,183759.898659
424,183759.970629
425,183760.075522
426,183760.147232
427,183760.243245
428,183760.315634
429,183760.395678
430,183760.467790
431,183760.547941
432,183760.619601
433,183760.707239
434,183760.803295
435,183760.884213
436,183760.963487
437,183761.043081
438,183761.114961
439,183761.195945
440,183761.266546
441,183761.371710
442,183761.492069
443,183761.570744
444,183761.651374
445,183761.747611
446,183761.826763
447,183761.891572
448,183761.996732
449,183762.082588
450,183762.333849
451,183762.412686
452,183762.493706
453,183762.588902
454,183762.658661
455,183762.786919
456,183762.858669
457,183762.979552
458,183763.050742
459,183763.123408
460,183763.194558
461,183763.465416
462,183763.707301
463,183763.781845
464,183763.909148
465,183763.989687
466,183764.056690
467,183764.166661
468,183764.239707
469,183764.410419
470,183764.496185
471,183764.585813
472,183764.688811
473,183764.767209
474,183764.852349
475,183764.921387
476,183765.009849
477,183765.107517
478,183765.211227
479,183765.306949
480,183765.515858
481,183765.613265
482,183765.694036
483,183765.805532
484,183765.929250
485,183766.251776
486,183766.341927
487,183766.406592
488,183766.648795
489,183766.939030
490,183767.029254
491,183767.130783
492,183767.241123
493,183767.347231
494,183767.434686
495,183767.507911
496,183767.653017
497,183767.743205
498,183767.836795
499,183767.933832
500,183768.020502
501,183768.234716
502,183768.306683
503,183768.419287
504,183768.509883
505,183768.614263
506,183768.694813
507,183768.840005
508,183768.916127
509,183769.266587
510,183769.331619
511,183769.397162
512,183769.450746
513,183769.650864
514,183769.826950
515,183769.892572
516,183770.029257
517,183770.108070
518,183770.349773
519,183770.405110
520,183770.472410
521,183770.525391
522,183770.587031
523,183770.760143
524,183770.852474
525,183770.931465
526,183770.992404
527,183771.090475
528,183771.158516
529,183771.234125
530,183771.301870
531,183771.449414
532,183771.524096
533,183771.599548
534,183771.669881
535,183771.748631
536,183771.863408
537,183771.915031
538,183772.020768
539,183772.124945
540,183772.213238
541,183772.324156
542,183772.411299
543,183772.797700
544,183772.880103
545,183772.991071
546,183773.093493
547,183773.194342
548,183773.266248
549,183773.342675
550,183773.710599
551,183773.786990
552,183773.877733
553,183774.016767
554,183774.102876
555,183774.236927
556,183774.316914
557,183774.460710
558,183774.551683
559,183774.636418
560,183774.732058
561,183774.818641
562,183774.919938
563,183775.221832
564,183775.302218
565,183775.389329
566,183775.506436
567,183775.606364
568,183775.701772
569,183775.785411
570,183775.859845
571,183775.954723
572,183776.059716
573,183776.188504
574,183776.347827
575,183776.419889
576,183776.517379
577,183776.655330
578,183776.723169
579,183776.795191
580,183776.892568
581,183776.998902
582,183777.092913
583,183777.216058
584,183777.395494
585,183777.476537
586,183777.620471
587,183777.731812
588,183778.107180
589,183778.205174
590,183778.288917
591,183778.395619
592,183778.475630
593,183778.594646
594,183778.690461
595,183778.772321
596,183778.884912
597,183778.957004
598,183779.020261
599,183779.260555
600,183779.332648
601,183779.482724
602,183779.542585
603,183779.593633
604,183779.675880
605,183779.731589
606,183779.797956
607,183779.859819
608,183779.928956
609,183779.981289
610,183780.071604
611,183780.134110
612,183780.188789
