# skew_n, 3232
# skew_median_ms, 1.0082090157084167
# skew_p95_ms, 8.434141619363798
# skew_max_ms, 28.510916978120804
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
116,342569.003631,0.000198,342569.003532,342569.003730
117,342569.028068,0.000409,342569.028273,342569.027864
118,342569.049954,0.000997,342569.049456,342569.050452
119,342569.066376,0.001485,342569.065633,342569.067118
120,342569.092053,0.001076,342569.091515,342569.092591
121,342569.110326,0.006385,342569.113518,342569.107133
122,342569.129570,0.001046,342569.129047,342569.130093
123,342569.152766,0.007991,342569.156762,342569.148770
124,342569.177320,0.000957,342569.177799,342569.176842
125,342569.202815,0.000958,342569.202336,342569.203294
126,342569.217706,0.000940,342569.218176,342569.217235
127,342569.243576,0.002131,342569.242511,342569.244642
128,342569.267032,0.000993,342569.267528,342569.266535
129,342569.288272,0.006445,342569.291495,342569.285050
130,342569.308221,0.001091,342569.307675,342569.308766
131,342569.332855,0.000675,342569.332518,342569.333193
132,342569.353699,0.000896,342569.353251,342569.354148
133,342569.374238,0.000950,342569.374712,342569.373763
134,342569.397399,0.000997,342569.396901,342569.397897
135,342569.419017,0.001236,342569.418399,342569.419635
136,342569.437320,0.007991,342569.441315,342569.433324
137,342569.459065,0.000984,342569.459557,342569.458573
138,342569.483965,0.001037,342569.483447,342569.484484
139,342569.497065,0.008637,342569.492747,342569.501384
140,342569.521939,0.001027,342569.521425,342569.522452
141,342569.545547,0.001037,342569.545029,342569.546066
142,342569.565321,0.008266,342569.561188,342569.569454
143,342569.590434,0.000170,342569.590519,342569.590349
144,342569.605527,0.001290,342569.604882,342569.606172
145,342569.631020,0.001407,342569.630316,342569.631723
146,342569.650777,0.001099,342569.651326,342569.650227
147,342569.674921,0.000822,342569.675332,342569.674510
148,342569.690742,0.000995,342569.691240,342569.690244
149,342569.714383,0.000922,342569.714844,342569.713922
150,342569.739388,0.001111,342569.738833,342569.739943
151,342569.758114,0.007989,342569.762108,342569.754119
152,342569.778307,0.000986,342569.778800,342569.777814
153,342569.802527,0.001063,342569.803059,342569.801996
154,342569.819449,0.000833,342569.819033,342569.819866
155,342569.839773,0.008355,342569.843950,342569.835596
156,342569.865459,0.000938,342569.865928,342569.864990
157,342569.886708,0.006616,342569.883399,342569.890016
158,342569.907568,0.000942,342569.907097,342569.908039
159,342569.930815,0.000970,342569.931300,342569.930330
160,342569.947839,0.001024,342569.948351,342569.947327
161,342569.972827,0.001359,342569.973507,342569.972148
162,342569.994481,0.001075,342569.995019,342569.993944
163,342570.012159,0.000896,342570.011711,342570.012607
164,342570.035808,0.001018,342570.035299,342570.036317
165,342570.056198,0.005872,342570.059134,342570.053262
166,342570.071185,0.008462,342570.075416,342570.066954
167,342570.098370,0.001096,342570.098918,342570.097822
168,342570.122682,0.001022,342570.123193,342570.122171
169,342570.138986,0.001049,342570.138461,342570.139510
170,342570.163132,0.000952,342570.163608,342570.162656
171,342570.183327,0.008838,342570.178908,342570.187746
172,342570.202816,0.000784,342570.203207,342570.202424
173,342570.227099,0.000870,342570.226664,342570.227534
174,342570.251245,0.000930,342570.251710,342570.250780
175,342570.267219,0.000934,342570.267686,342570.266752
176,342570.291039,0.000868,342570.291473,342570.290605
177,342570.315551,0.000988,342570.316045,342570.315057
178,342570.331210,0.001033,342570.330694,342570.331727
179,342570.352855,0.012463,342570.346624,342570.359087
180,342570.379272,0.001048,342570.378748,342570.379796
181,342570.398973,0.007381,342570.395282,342570.402663
182,342570.415578,0.008792,342570.411182,342570.419974
183,342570.443920,0.000968,342570.443436,342570.444403
184,342570.457703,0.013332,342570.464369,342570.451037
185,342570.482373,0.000918,342570.481914,342570.482832
