design,freq_hz,n,t_s,delta_med,delta_q25,delta_q75,env_med,env_q25,env_q75
design 1,10.0,22,1.74,0.5941,0.3804,1.1604,3.2782,2.9927,4.1128
design 1,10.0,22,1.76,0.5911,0.4115,1.0017,3.2273,2.9248,4.07
design 1,10.0,22,1.78,0.755,0.5082,0.9885,3.2218,2.8977,3.7513
design 1,10.0,22,1.8,0.6295,0.3708,0.8481,3.2403,2.9024,3.7026
design 1,10.0,22,1.82,0.5556,0.3365,0.9348,3.1732,2.8425,3.7146
design 1,10.0,22,1.84,0.4889,0.191,0.6779,3.1893,2.8266,3.7305
design 1,10.0,22,1.86,0.52,0.3697,0.7721,3.1888,2.8137,3.8044
design 1,10.0,22,1.88,0.5264,0.3511,0.7413,3.1335,2.8401,3.7892
design 1,10.0,22,1.9,0.4307,0.3355,0.8154,3.1421,2.8664,3.6479
design 1,10.0,22,1.92,0.5399,0.2828,0.8,3.1109,2.7802,3.5857
design 1,10.0,22,1.94,0.5022,0.3563,1.0453,3.1778,2.916,3.7276
design 1,10.0,22,1.96,0.4013,0.3226,1.0562,3.2049,2.9566,3.6757
design 1,10.0,22,1.98,0.3955,0.2774,0.9646,3.1836,2.8823,3.638
design 1,10.0,22,2.0,0.5237,0.3269,1.061,3.2436,2.9137,3.6242
design 1,10.0,22,2.02,0.6227,0.2664,0.933,3.2936,2.9853,3.7009
design 1,10.0,22,2.04,0.6332,0.4393,0.9473,3.2958,2.9998,3.7794
design 1,10.0,22,2.06,0.5284,0.3369,0.9443,3.3707,3.0133,4.1144
design 1,10.0,22,2.08,0.6094,0.435,0.8725,3.3725,3.1069,4.2232
design 1,10.0,22,2.1,0.5317,0.4358,0.8278,3.3993,3.1517,4.1429
design 1,10.0,22,2.12,0.5051,0.2794,0.8014,3.3662,3.0766,4.1585
design 1,10.0,22,2.14,0.4704,0.342,0.7979,3.3766,3.053,4.2762
design 1,10.0,22,2.16,0.5096,0.3278,0.9154,3.2734,3.1194,4.2482
design 1,10.0,22,2.18,0.5063,0.3874,0.9075,3.2427,2.9011,4.2986
design 1,10.0,22,2.2,0.4815,0.2718,0.911,3.3107,2.915,4.5005
design 1,10.0,22,2.22,0.4727,0.3115,0.7511,3.1516,2.8138,4.5505
design 1,10.0,22,2.24,0.4951,0.3171,0.8358,3.184,2.6684,4.4663
design 1,10.0,22,2.26,0.578,0.3604,0.8672,3.2135,2.7231,4.3279
design 1,10.0,22,2.28,0.4402,0.2485,0.8094,3.1841,2.7451,4.1645
design 1,10.0,22,2.3,0.4357,0.3013,1.0315,3.1387,2.7273,4.0932
design 1,10.0,22,2.32,0.4846,0.3372,0.6828,3.1707,2.6931,4.1636
design 1,10.0,22,2.34,0.4796,0.2632,0.6929,3.1977,2.6992,4.0919
design 1,10.0,22,2.36,0.4118,0.277,0.6803,3.2111,2.7938,3.9828
design 1,10.0,22,2.38,0.5596,0.3187,0.7346,3.1399,2.8119,3.95
design 1,10.0,22,2.4,0.4866,0.3045,0.699,3.1056,2.791,4.0416
design 1,10.0,22,2.42,0.439,0.2957,0.6883,3.0621,2.7872,3.9802
design 1,10.0,22,2.44,0.5216,0.2227,0.7677,3.0429,2.8909,4.0196
design 1,10.0,22,2.46,0.6121,0.299,0.7811,3.1264,2.8107,3.9601
design 1,10.0,22,2.48,0.5149,0.3478,0.8212,3.0941,2.7707,3.6652
design 1,10.0,22,2.5,0.4816,0.2855,0.8485,3.1052,2.773,3.6843
design 1,10.0,22,2.52,0.4886,0.3579,0.8111,3.2045,2.679,3.6691
design 1,10.0,22,2.54,0.4439,0.3632,0.7507,3.2884,2.6218,3.5851
design 1,10.0,22,2.56,0.4541,0.3793,0.6865,3.2776,2.6708,3.6363
design 1,10.0,22,2.58,0.44,0.1917,0.576,3.2644,2.7531,3.6156
design 1,10.0,22,2.6,0.3973,0.1666,0.7063,3.2592,2.6831,3.5694
design 1,10.0,22,2.62,0.3201,0.2473,0.8068,3.1957,2.6579,3.5716
design 1,10.0,22,2.64,0.4338,0.2861,0.8554,3.172,2.7027,3.4676
design 1,10.0,22,2.66,0.4062,0.2704,0.8517,3.1361,2.79,3.4126
design 1,10.0,22,2.68,0.3808,0.3063,0.7979,3.128,2.7935,3.4524
design 1,10.0,22,2.7,0.507,0.3149,0.7602,3.3006,2.9586,3.5331
design 1,10.0,22,2.72,0.3908,0.2676,0.8064,3.185,2.9926,3.4649
design 1,10.0,22,2.74,0.4942,0.3829,0.76,3.2093,2.9469,3.638
design 1,10.0,22,2.76,0.523,0.3264,0.7233,3.2176,2.9976,3.6818
design 1,10.0,22,2.78,0.5975,0.4377,0.859,3.1876,2.9289,3.677
design 1,10.0,22,2.8,0.6183,0.415,0.9267,3.1732,2.8349,3.6521
design 1,10.0,22,2.82,0.4852,0.3417,0.6556,3.1164,2.8274,3.8203
design 1,10.0,22,2.84,0.4363,0.2447,0.6132,3.1329,2.8509,3.8528
design 1,10.0,22,2.86,0.3915,0.2893,0.786,3.1501,2.9386,3.9113
design 1,10.0,22,2.88,0.4165,0.2606,0.8407,3.2058,2.9583,3.8195
design 1,10.0,22,2.9,0.4826,0.2996,0.6304,3.2453,2.9116,3.7521
design 1,10.0,22,2.92,0.4705,0.2579,0.7624,3.1356,2.777,3.4266
design 1,10.0,22,2.94,0.3623,0.2278,0.7414,3.2467,2.6763,3.4734
design 1,10.0,22,2.96,0.4069,0.2869,0.7289,3.2204,2.949,3.5131
design 1,10.0,22,2.98,0.391,0.2163,0.8975,3.1825,2.8924,3.3754
design 1,10.0,22,3.0,0.4536,0.2444,0.8861,3.1585,2.8847,3.702
design 1,10.0,22,3.02,0.4286,0.2496,0.8631,3.1927,2.9117,3.8417
design 1,10.0,22,3.04,0.4806,0.3348,0.8042,3.2127,2.8948,3.6998
design 1,10.0,22,3.06,0.4519,0.316,0.8774,3.1748,2.954,3.7086
design 1,10.0,22,3.08,0.5992,0.3673,0.7112,3.2203,2.9503,3.6337
design 1,10.0,22,3.1,0.6299,0.4576,0.7415,3.1844,3.0492,3.612
design 1,10.0,22,3.12,0.4223,0.3438,0.7381,3.1644,3.0025,3.7394
design 1,10.0,22,3.14,0.4872,0.3473,0.6779,3.1852,2.9608,3.7615
design 1,10.0,22,3.16,0.4663,0.2966,0.6846,3.1979,2.9533,3.8537
design 1,10.0,22,3.18,0.5032,0.3107,0.7021,3.1348,2.9029,3.7811
design 1,10.0,22,3.2,0.3517,0.2573,0.6536,3.1671,2.7233,3.8176
design 1,10.0,22,3.22,0.3506,0.2275,0.6205,3.1485,2.6141,3.5512
design 1,10.0,22,3.24,0.4044,0.2202,0.6523,3.1684,2.567,3.6217
design 1,10.0,22,3.26,0.4686,0.2033,0.6782,3.161,2.66,3.7058
design 1,10.0,22,3.28,0.3333,0.171,0.6592,3.1098,2.5803,3.8576
design 1,10.0,22,3.3,0.3901,0.2651,0.7028,3.0922,2.7151,3.8713
design 1,10.0,22,3.32,0.5172,0.2162,0.9029,3.1365,2.6822,3.8878
design 1,10.0,22,3.34,0.3828,0.2284,0.7172,3.0997,2.7073,3.8082
