frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg,longest_width_px
122,4.1511806331471135,True,105.87,112.86,0.9998,0.0206,1.18,159.37
123,4.185206703910614,True,104.66,113.7,0.9997,0.0251,1.44,133.79
124,4.219232774674116,True,103.72,113.46,0.9997,0.0243,1.39,136.57
125,4.253258845437617,True,102.93,113.56,0.9996,0.0265,1.52,132.88
126,4.287284916201117,True,102.47,112.6,0.9997,0.0254,1.45,158.22
127,4.321310986964618,True,101.81,113.27,0.9997,0.0264,1.51,140.6
128,4.35533705772812,True,101.15,112.57,0.9996,0.0283,1.62,159.19
129,4.38936312849162,True,101.15,113.37,0.9995,0.0305,1.75,134.68
130,4.423389199255121,True,101.05,112.61,0.9995,0.0301,1.73,160.67
131,4.457415270018622,True,100.94,112.59,0.9995,0.0311,1.78,155.18
132,4.491441340782123,True,101.04,112.57,0.9995,0.0306,1.75,160.11
133,4.525467411545624,True,101.27,112.54,0.9995,0.0305,1.75,160.77
134,4.559493482309125,True,102.01,112.58,0.9995,0.0314,1.8,159.51
135,4.593519553072626,True,102.78,112.59,0.9995,0.0309,1.77,155.76
136,4.627545623836126,True,103.94,112.61,0.9995,0.0306,1.75,155.92
137,4.661571694599628,True,105.07,112.75,0.9995,0.0313,1.8,157.62
138,4.695597765363129,True,106.01,112.69,0.9995,0.0311,1.78,154.77
139,4.729623836126629,True,106.89,112.65,0.9995,0.0304,1.74,154.97
140,4.76364990689013,True,107.8,112.58,0.9994,0.0333,1.91,155.7
141,4.797675977653632,True,107.77,113.27,0.9994,0.0344,1.97,141.54
142,4.8317020484171325,True,107.8,113.18,0.9993,0.0366,2.1,141.94
143,4.865728119180633,True,107.73,112.36,0.9994,0.0358,2.05,159.67
144,4.899754189944134,True,107.27,113.24,0.9991,0.0421,2.41,143.19
145,4.9337802607076355,True,106.56,113.19,0.999,0.0445,2.55,143.83
146,4.967806331471136,True,105.68,113.24,0.999,0.0451,2.59,142.26
147,5.001832402234637,True,104.76,113.34,0.9987,0.0512,2.94,139.35
148,5.035858472998138,True,103.88,112.3,0.9985,0.0556,3.18,160.44
149,5.069884543761638,True,103.36,113.09,0.9986,0.0522,2.99,139.9
150,5.10391061452514,True,103.2,113.27,0.9986,0.0537,3.08,141.62
151,5.137936685288641,True,102.99,113.31,0.9985,0.0552,3.16,139.89
152,5.1719627560521415,True,103.15,113.36,0.9986,0.0534,3.06,139.28
153,5.205988826815642,True,103.84,113.25,0.9984,0.0567,3.25,139.6
154,5.240014897579144,True,104.6,113.52,0.9984,0.0557,3.2,139.66
155,5.274040968342645,True,105.0,113.37,0.9983,0.0588,3.37,141.82
156,5.308067039106145,True,106.73,113.33,0.9983,0.0578,3.31,144.55
157,5.342093109869646,True,107.77,113.55,0.9983,0.059,3.38,139.01
158,5.376119180633148,True,108.81,113.72,0.9981,0.0617,3.54,137.51
159,5.410145251396648,True,110.01,113.63,0.9985,0.0556,3.19,136.46
160,5.444171322160149,True,110.57,113.69,0.9979,0.0642,3.68,143.71
161,5.47819739292365,True,110.79,113.65,0.9981,0.0622,3.57,141.41
162,5.5122234636871505,True,110.93,113.7,0.998,0.0636,3.64,141.47
163,5.546249534450652,True,110.61,113.77,0.9977,0.0672,3.86,141.94
164,5.580275605214153,True,109.57,112.88,0.9966,0.082,4.7,160.96
165,5.614301675977654,True,108.36,113.81,0.9975,0.0707,4.06,136.42
166,5.648327746741154,True,107.39,113.85,0.9973,0.0731,4.19,135.99
167,5.682353817504656,True,106.13,113.5,0.9975,0.0707,4.06,141.66
168,5.716379888268157,True,105.2,113.58,0.9976,0.0687,3.94,136.69
169,5.750405959031657,True,104.55,113.96,0.9973,0.0731,4.19,137.5
170,5.784432029795158,True,104.05,113.71,0.9977,0.0683,3.91,135.88
171,5.81845810055866,True,103.89,113.75,0.9977,0.0684,3.92,133.22
172,5.8524841713221605,True,104.05,113.94,0.9975,0.071,4.07,138.45
173,5.886510242085661,True,104.63,113.82,0.9979,0.0643,3.69,134.25
174,5.920536312849162,True,105.9,114.06,0.9982,0.0593,3.4,134.42
175,5.9545623836126635,True,107.11,114.12,0.998,0.0625,3.58,138.57
176,5.988588454376164,True,108.03,114.1,0.9993,0.0366,2.1,122.73
177,6.022614525139665,True,108.97,114.42,0.9981,0.0613,3.51,131.65
178,6.056640595903166,True,109.35,113.44,0.9976,0.0694,3.98,157.97
179,6.0906666666666665,True,110.08,114.27,0.9983,0.0574,3.29,131.91
180,6.124692737430168,True,110.71,114.15,0.9983,0.0585,3.35,135.5
181,6.158718808193669,True,110.43,114.18,0.9982,0.0602,3.45,135.3
182,6.1927448789571695,True,109.84,114.19,0.9983,0.0591,3.39,133.52
183,6.22677094972067,True,108.92,114.25,0.9984,0.0567,3.25,131.3
184,6.260797020484172,True,107.9,114.22,0.9986,0.0532,3.05,128.24
185,6.294823091247673,True,106.42,113.88,0.9986,0.0538,3.09,136.75
186,6.328849162011173,True,105.3,113.11,0.9985,0.055,3.15,155.55
187,6.362875232774674,True,104.39,113.98,0.9984,0.0566,3.24,135.16
188,6.396901303538176,True,103.18,113.11,0.9986,0.0534,3.06,155.22
189,6.430927374301676,True,102.44,113.07,0.9987,0.051,2.92,153.79
190,6.464953445065177,True,101.89,114.08,0.9989,0.0477,2.73,128.22
191,6.498979515828678,True,101.79,113.04,0.9988,0.0485,2.78,151.73
192,6.533005586592179,True,102.37,113.14,0.999,0.0444,2.55,153.93
193,6.56703165735568,True,102.77,113.2,0.9991,0.0415,2.38,149.25
194,6.601057728119181,True,103.63,113.19,0.9991,0.0417,2.39,151.35
195,6.635083798882682,True,106.14,113.29,0.9993,0.0387,2.22,157.72
196,6.669109869646182,True,107.32,114.28,0.9993,0.0369,2.11,128.38
197,6.703135940409684,True,108.67,114.29,0.9993,0.038,2.18,129.38
198,6.737162011173185,True,109.44,113.91,0.9993,0.0367,2.1,135.9
199,6.771188081936685,True,109.77,114.15,0.9993,0.0379,2.17,129.74
200,6.805214152700186,True,109.74,114.11,0.9993,0.0385,2.21,131.61
201,6.839240223463688,True,108.69,113.02,0.9994,0.0344,1.97,155.13
202,6.8732662942271885,True,107.66,113.76,0.9994,0.0348,1.99,136.15
203,6.907292364990689,True,106.35,113.85,0.9993,0.0371,2.13,135.78
204,6.94131843575419,True,104.7,113.72,0.9993,0.0382,2.19,134.82
205,6.975344506517691,True,103.24,113.46,0.9992,0.0396,2.27,137.94
206,7.009370577281192,True,101.68,113.52,0.9991,0.0429,2.46,136.25
207,7.043396648044693,True,100.86,113.61,0.9991,0.043,2.46,135.6
208,7.077422718808194,True,100.21,112.53,0.9991,0.0416,2.38,158.29
209,7.1114487895716945,True,100.16,112.55,0.9991,0.0414,2.37,158.33
210,7.145474860335196,True,100.19,112.55,0.9992,0.0408,2.34,157.57
211,7.179500931098697,True,101.2,113.58,0.9991,0.0427,2.45,131.15
212,7.2135270018621975,True,102.25,113.58,0.999,0.0451,2.58,134.33
213,7.247553072625698,True,103.92,112.85,0.9992,0.04,2.29,157.71
214,7.2815791433892,True,105.1,113.72,0.999,0.0453,2.6,134.15
215,7.315605214152701,True,106.82,113.72,0.999,0.0436,2.5,135.83
216,7.349631284916201,True,107.05,113.7,0.9989,0.0463,2.65,133.42
217,7.383657355679702,True,108.57,113.6,0.999,0.0448,2.57,141.43
218,7.417683426443203,True,109.7,113.58,0.9989,0.0458,2.63,141.16
219,7.451709497206704,True,109.43,113.66,0.9989,0.0469,2.69,138.78
220,7.485735567970205,True,109.21,112.7,0.9989,0.0466,2.67,156.53
221,7.519761638733706,True,108.76,113.59,0.9988,0.0489,2.8,139.08
222,7.553787709497207,True,107.56,113.45,0.9987,0.0501,2.87,140.98
223,7.587813780260708,True,106.72,112.59,0.9987,0.0512,2.94,156.98
224,7.621839851024209,True,105.43,113.44,0.9986,0.0523,3.0,143.29
225,7.65586592178771,True,104.15,113.5,0.9986,0.052,2.98,136.2
226,7.68989199255121,True,103.24,113.39,0.9986,0.0529,3.03,138.7
227,7.723918063314712,True,102.27,112.52,0.9982,0.0596,3.42,157.01
228,7.757944134078213,True,102.16,113.38,0.9984,0.0567,3.25,140.32
229,7.791970204841713,True,102.01,113.54,0.9982,0.0601,3.45,135.47
230,7.825996275605214,True,102.29,113.47,0.9983,0.0583,3.35,141.15
231,7.860022346368715,True,103.25,112.73,0.9979,0.0653,3.74,155.0
232,7.8940484171322165,True,104.23,112.73,0.9979,0.0645,3.7,155.39
233,7.928074487895717,True,105.97,113.42,0.9983,0.0575,3.29,140.78
234,7.962100558659218,True,107.13,112.89,0.9978,0.0656,3.76,154.29
235,7.996126629422719,True,108.29,113.74,0.9982,0.0601,3.44,138.56
