frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg_major,line_angle_deg_minor,longest_width_px,contour_area_px,final_combined_angle_deg,minor_len_px,top_ellipse_major_len_px,top_ellipse_minor_len_px,axis_x,axis_y,axis_z
61,2.0755903165735567,True,268.66,404.79,0.9992,0.0405,2.32,85.18,135.33,2891.0,85.18,27.83,135.33,11.37,0.0839,0.0034,0.9965
62,2.109616387337058,True,269.46,404.76,0.9992,0.0403,2.31,85.21,135.33,2885.0,85.21,27.78,135.33,11.3,0.0835,0.0034,0.9965
63,2.1436424581005586,True,269.88,404.77,0.9991,0.0419,2.4,85.25,136.34,2916.0,85.25,29.77,136.34,11.3,0.0828,0.0035,0.9966
64,2.17766852886406,True,269.89,404.87,0.9991,0.0425,2.44,85.05,136.34,2912.0,85.05,27.98,136.34,11.77,0.0862,0.0037,0.9963
65,2.2116945996275605,True,269.38,404.79,0.999,0.0439,2.52,84.92,136.35,2919.0,84.92,27.87,136.35,12.07,0.0884,0.0039,0.9961
66,2.2457206703910617,True,268.91,404.73,0.999,0.0447,2.56,85.13,135.36,2916.0,85.13,29.71,135.36,11.5,0.0849,0.0038,0.9964
67,2.2797467411545624,True,268.02,404.74,0.9989,0.0462,2.65,84.97,136.36,2941.0,84.97,29.73,136.36,11.97,0.0877,0.004,0.9961
68,2.313772811918063,True,266.99,404.66,0.9989,0.0465,2.67,85.41,136.36,2935.0,85.41,29.57,136.36,10.91,0.0799,0.0037,0.9968
69,2.3477988826815643,True,265.18,404.57,0.9989,0.0479,2.74,85.33,136.37,2912.0,85.33,29.37,136.37,11.1,0.0813,0.0039,0.9967
70,2.381824953445065,True,264.31,404.54,0.9989,0.0473,2.71,85.43,136.37,2912.0,85.43,29.3,136.37,10.86,0.0795,0.0038,0.9968
71,2.4158510242085662,True,263.51,404.49,0.9989,0.0477,2.73,85.0,136.37,2885.0,85.0,29.18,136.37,11.89,0.0871,0.0042,0.9962
72,2.449877094972067,True,263.28,404.51,0.9989,0.0463,2.65,85.25,136.36,2849.0,85.25,29.24,136.36,11.29,0.0827,0.0038,0.9966
73,2.483903165735568,True,263.74,404.69,0.9989,0.0475,2.72,85.73,135.37,2837.0,85.73,29.65,135.37,10.09,0.0744,0.0035,0.9972
74,2.517929236499069,True,264.58,404.87,0.9989,0.0462,2.65,85.18,135.36,2815.0,85.18,28.03,135.36,11.37,0.0839,0.0039,0.9965
75,2.55195530726257,True,265.96,404.87,0.999,0.0457,2.62,85.15,136.36,2799.0,85.15,27.98,136.36,11.52,0.0844,0.0039,0.9964
76,2.5859813780260708,True,267.09,405.02,0.9989,0.0459,2.63,85.15,136.36,2811.0,85.15,28.28,136.36,11.52,0.0844,0.0039,0.9964
77,2.620007448789572,True,268.15,405.05,0.999,0.0458,2.62,85.24,136.36,2798.0,85.24,28.34,136.36,11.31,0.0828,0.0038,0.9966
78,2.6540335195530727,True,269.19,405.08,0.999,0.045,2.58,85.28,136.36,2809.0,85.28,28.39,136.36,11.21,0.0821,0.0037,0.9966
79,2.688059590316574,True,270.05,405.08,0.999,0.0452,2.59,85.25,136.36,2809.0,85.25,28.41,136.36,11.3,0.0828,0.0037,0.9966
80,2.7220856610800745,True,270.53,405.06,0.999,0.0452,2.59,85.26,135.36,2793.0,85.26,28.41,135.36,11.2,0.0826,0.0037,0.9966
81,2.7561117318435753,True,270.56,405.1,0.9989,0.0464,2.66,85.16,135.37,2816.0,85.16,28.48,135.37,11.41,0.0842,0.0039,0.9964
82,2.7901378026070764,True,269.97,404.97,0.9989,0.0462,2.65,85.14,136.36,2831.0,85.14,28.28,136.36,11.55,0.0846,0.0039,0.9964
83,2.824163873370577,True,269.1,404.92,0.9989,0.0461,2.64,85.19,136.36,2843.0,85.19,28.18,136.36,11.44,0.0838,0.0039,0.9965
84,2.8581899441340783,True,268.11,404.91,0.9989,0.047,2.69,85.13,136.37,2834.0,85.13,28.06,136.37,11.57,0.0848,0.004,0.9964
85,2.892216014897579,True,266.93,404.91,0.9989,0.0466,2.67,85.16,136.36,2833.0,85.16,28.08,136.36,11.51,0.0843,0.0039,0.9964
86,2.9262420856610802,True,265.97,404.82,0.9989,0.0462,2.65,85.15,136.36,2828.0,85.15,27.98,136.36,11.53,0.0845,0.0039,0.9964
87,2.960268156424581,True,265.08,404.8,0.9989,0.0462,2.65,85.19,136.36,2814.0,85.19,27.84,136.36,11.44,0.0838,0.0039,0.9965
88,2.994294227188082,True,264.07,404.84,0.9989,0.0464,2.66,85.17,136.36,2806.0,85.17,27.92,136.36,11.49,0.0842,0.0039,0.9964
89,3.028320297951583,True,263.43,404.85,0.999,0.0439,2.52,85.49,136.35,2782.0,85.49,27.89,136.35,10.71,0.0785,0.0035,0.9969
90,3.062346368715084,True,263.29,404.89,0.9991,0.0413,2.37,85.51,136.34,2768.0,85.51,27.98,136.34,10.68,0.0783,0.0032,0.9969
91,3.0963724394785848,True,263.4,404.88,0.9991,0.0414,2.37,85.55,136.34,2764.0,85.55,27.95,136.34,10.58,0.0775,0.0032,0.997
92,3.130398510242086,True,264.21,404.98,0.9992,0.0402,2.3,85.6,136.29,2755.0,85.6,28.17,136.29,10.46,0.0767,0.0031,0.9971
93,3.1644245810055867,True,264.74,405.08,0.9992,0.0401,2.3,86.72,135.25,2730.0,86.72,28.4,135.25,7.73,0.0571,0.0023,0.9984
94,3.198450651769088,True,265.72,405.26,0.9992,0.0396,2.27,85.81,135.25,2722.0,85.81,26.76,135.25,9.89,0.073,0.0029,0.9973
95,3.2324767225325886,True,266.5,405.36,0.9992,0.039,2.24,85.82,135.25,2727.0,85.82,26.97,135.25,9.86,0.0729,0.0028,0.9973
96,3.2665027932960893,True,267.9,405.28,0.9993,0.0378,2.16,85.76,136.24,2722.0,85.76,26.78,136.24,10.07,0.0739,0.0028,0.9973
97,3.3005288640595905,True,268.7,405.36,0.9994,0.0359,2.06,85.88,135.24,2712.0,85.88,26.95,135.24,9.73,0.0719,0.0026,0.9974
98,3.334554934823091,True,269.24,405.34,0.9995,0.0329,1.88,86.26,136.22,2730.0,86.26,28.84,136.22,8.89,0.0652,0.0021,0.9979
99,3.3685810055865923,True,269.36,405.36,0.9995,0.0326,1.87,85.85,136.22,2738.0,85.85,26.93,136.22,9.86,0.0723,0.0024,0.9974
100,3.402607076350093,True,269.31,405.28,0.9995,0.0323,1.85,85.84,136.22,2734.0,85.84,26.78,136.22,9.87,0.0724,0.0023,0.9974
101,3.4366331471135942,True,268.72,405.27,0.9995,0.0321,1.84,85.89,135.22,2739.0,85.89,26.74,135.22,9.7,0.0717,0.0023,0.9974
102,3.470659217877095,True,267.77,405.18,0.9995,0.0325,1.86,85.64,135.22,2761.0,85.64,28.56,135.22,10.28,0.076,0.0025,0.9971
103,3.504685288640596,True,267.17,405.04,0.9995,0.0316,1.81,85.76,136.22,2776.0,85.76,28.25,136.22,10.07,0.0739,0.0023,0.9973
104,3.538711359404097,True,266.19,405.03,0.9995,0.0319,1.83,85.64,136.22,2779.0,85.64,28.23,136.22,10.36,0.076,0.0024,0.9971
105,3.572737430167598,True,265.04,404.94,0.9995,0.0319,1.83,85.74,136.22,2782.0,85.74,28.05,136.22,10.12,0.0742,0.0024,0.9972
106,3.6067635009310988,True,263.73,404.88,0.9994,0.0334,1.92,85.58,135.23,2781.0,85.58,27.97,135.23,10.43,0.0771,0.0026,0.997
107,3.6407895716946,True,263.16,404.71,0.9995,0.0327,1.88,85.84,136.22,2780.0,85.84,27.65,136.22,9.89,0.0725,0.0024,0.9974
108,3.6748156424581007,True,262.46,404.73,0.9995,0.0322,1.85,85.95,136.22,2792.0,85.95,27.66,136.22,9.61,0.0705,0.0023,0.9975
109,3.7088417132216014,True,262.24,404.79,0.9995,0.0306,1.75,86.13,136.21,2767.0,86.13,27.73,136.21,9.2,0.0675,0.0021,0.9977
110,3.7428677839851026,True,262.36,404.76,0.9996,0.029,1.66,86.26,136.2,2773.0,86.26,27.67,136.2,8.89,0.0652,0.0019,0.9979
111,3.7768938547486033,True,262.3,404.81,0.9996,0.0277,1.59,85.82,136.17,2755.0,85.82,27.76,136.17,9.92,0.0728,0.002,0.9973
112,3.8109199255121045,True,262.93,404.87,0.9996,0.0284,1.63,85.61,135.2,2755.0,85.61,27.9,135.2,10.34,0.0765,0.0022,0.9971
113,3.844945996275605,True,263.87,404.93,0.9996,0.0273,1.56,85.63,135.2,2756.0,85.63,28.02,135.2,10.31,0.0762,0.0021,0.9971
