frame,t,nx,ny,nz,agree_deg
174,607462.740938,0.4314,-0.76247,-0.48222,1.19
175,607462.744912,0.43339,-0.76417,-0.47772,0.55
176,607462.749041,0.42994,-0.76151,-0.48503,0.89
177,607462.754045,0.43153,-0.7615,-0.48363,1.06
178,607462.761957,0.43129,-0.76222,-0.48271,1.16
179,607462.765453,0.43287,-0.76001,-0.48478,1.11
180,607462.769652,0.43312,-0.76326,-0.47942,1.28
181,607462.773442,0.4311,-0.76184,-0.48349,1.13
182,607462.776773,0.43116,-0.7649,-0.47857,0.99
183,607462.790819,0.43058,-0.76372,-0.48098,1.23
184,607462.794523,0.43245,-0.76556,-0.47635,1.09
185,607462.797643,0.42954,-0.76455,-0.48058,1.21
186,607462.801274,0.43214,-0.7662,-0.4756,1.05
187,607462.807191,0.43251,-0.76614,-0.47535,1.09
188,607462.813695,0.4308,-0.76411,-0.48015,1.27
189,607462.816973,0.43225,-0.76614,-0.47559,0.98
190,607462.822159,0.43136,-0.76676,-0.47541,0.7
191,607462.825071,0.42992,-0.7651,-0.47937,1.02
192,607462.828725,0.42981,-0.76724,-0.47603,0.8
193,607462.837477,0.42963,-0.76627,-0.47776,0.98
194,607462.841796,0.42846,-0.76282,-0.48428,1.47
195,607462.845814,0.43456,-0.76564,-0.4743,0.98
196,607462.849051,0.42724,-0.76789,-0.4773,0.74
197,607462.852959,0.42533,-0.77003,-0.47555,0.57
198,607462.862007,0.42995,-0.76871,-0.47353,1.03
199,607462.865618,0.42773,-0.76856,-0.47578,0.55
200,607462.877013,0.43008,-0.76843,-0.47386,0.85
201,607462.881033,0.43391,-0.76794,-0.47117,1.36
202,607462.889517,0.43435,-0.761,-0.4819,1.86
203,607462.892975,0.43184,-0.7645,-0.4786,0.85
204,607462.897221,0.42692,-0.76842,-0.47673,0.68
205,607462.901239,0.42987,-0.7611,-0.48573,1.44
206,607462.904841,0.42837,-0.7669,-0.47787,1.21
207,607462.913008,0.43163,-0.76736,-0.47418,0.84
208,607462.916997,0.43034,-0.76897,-0.47275,1.04
209,607462.92108,0.4321,-0.76802,-0.4727,1.17
210,607462.92526,0.43063,-0.76847,-0.4733,1.1
211,607462.928675,0.43077,-0.7677,-0.47442,1.23
212,607462.936805,0.43182,-0.76842,-0.47231,1.14
213,607462.941685,0.43229,-0.76813,-0.47234,1.22
214,607462.944954,0.4328,-0.76798,-0.47212,1.46
215,607462.949358,0.43354,-0.76634,-0.4741,1.12
216,607462.962059,0.43365,-0.75897,-0.4857,1.67
217,607462.96498,0.42849,-0.76535,-0.48025,0.74
218,607462.97019,0.42745,-0.76642,-0.47946,0.26
219,607462.972799,0.43237,-0.76533,-0.47679,1.1
220,607462.9778,0.42746,-0.76518,-0.48143,0.57
221,607462.980373,0.42789,-0.76024,-0.48883,1.25
222,607462.990593,0.43131,-0.76489,-0.47846,1.29
223,607462.993208,0.43324,-0.76387,-0.47833,1.39
224,607462.997629,0.43371,-0.7602,-0.48373,1.65
225,607463.00164,0.43493,-0.76359,-0.47725,1.65
226,607463.004432,0.43159,-0.7652,-0.47771,1.44
227,607463.013449,0.42749,-0.76471,-0.48216,0.97
228,607463.017615,0.43345,-0.76498,-0.47636,1.46
229,607463.02117,0.42851,-0.76347,-0.48321,0.97
230,607463.025114,0.4288,-0.76569,-0.47942,0.83
231,607463.029118,0.4298,-0.76202,-0.48435,1.12
232,607463.032784,0.42804,-0.76307,-0.48426,0.7
233,607463.045392,0.43296,-0.76527,-0.47635,1.1
234,607463.050014,0.43191,-0.75905,-0.48714,1.19
235,607463.05324,0.43296,-0.76485,-0.47703,1.24
236,607463.056334,0.42961,-0.76387,-0.4816,1.05
237,607463.066035,0.43138,-0.76685,-0.47523,0.71
238,607463.069715,0.43137,-0.76392,-0.47995,1.31
239,607463.073689,0.43101,-0.76761,-0.47434,0.9
240,607463.07696,0.42765,-0.76308,-0.48458,1.23
241,607463.080967,0.43124,-0.76672,-0.47558,1.09
242,607463.089194,0.43179,-0.76809,-0.47286,1.12
243,607463.093046,0.43324,-0.76502,-0.4765,0.96
244,607463.097784,0.43127,-0.76794,-0.47358,1.0
245,607463.10073,0.42714,-0.76417,-0.48332,1.25
246,607463.1056,0.43057,-0.76818,-0.47383,0.85
247,607463.10845,0.4281,-0.76882,-0.47503,0.62
248,607463.117629,0.42838,-0.76927,-0.47403,0.7
249,607463.120881,0.43052,-0.76753,-0.47491,1.08
250,607463.133458,0.42625,-0.76503,-0.48273,1.55
251,607463.141692,0.43105,-0.76839,-0.47306,0.95
252,607463.145866,0.42701,-0.76957,-0.47479,0.75
253,607463.149784,0.42706,-0.7695,-0.47485,0.58
254,607463.153524,0.42625,-0.76656,-0.4803,0.75
255,607463.156708,0.42706,-0.76416,-0.48341,1.36
256,607463.165277,0.43528,-0.76622,-0.4727,0.88
257,607463.16929,0.43028,-0.76712,-0.47581,0.81
258,607463.173191,0.43022,-0.76478,-0.4796,1.26
259,607463.17721,0.42732,-0.76718,-0.47837,0.37
260,607463.180936,0.42725,-0.76246,-0.48592,1.21
261,607463.184561,0.43209,-0.76536,-0.47699,0.9
262,607463.193256,0.42853,-0.76635,-0.47861,0.3
263,607463.197268,0.43053,-0.76435,-0.48002,0.58
264,607463.200944,0.43087,-0.75988,-0.48675,1.35
265,607463.205579,0.43093,-0.76354,-0.48094,0.99
266,607463.218221,0.4269,-0.76557,-0.48131,0.85
267,607463.221035,0.42879,-0.7656,-0.47957,0.81
