frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
89,607462.305681,52.57,71,121.744,22.666,70.262,115.603,65.431,429.02,220.24,92.16,151.02,64.88
90,607462.308728,52.555,64,121.95,22.639,70.178,115.425,65.801,429.29,220.22,92.05,150.66,65.21
91,607462.314041,53.129,63,122.273,22.357,70.21,117.012,65.066,429.72,219.82,92.09,152.87,64.51
92,607462.316543,52.779,65,121.766,22.739,70.091,115.873,65.567,429.14,220.35,91.8,151.57,65.05
93,607462.325556,52.467,67,121.856,22.694,70.195,115.223,65.684,429.23,220.25,92.05,150.71,65.14
94,607462.329263,52.831,64,121.88,22.657,70.156,116.12,65.437,429.22,220.21,92.02,151.75,64.87
95,607462.332918,52.537,65,121.935,22.61,70.281,115.547,65.58,429.34,220.13,92.16,151.13,65.04
96,607462.337119,52.778,70,121.871,22.642,70.217,116.079,65.574,429.19,220.2,92.12,151.63,65.04
97,607462.340666,52.766,66,122.046,22.538,70.193,116.009,65.506,429.45,220.07,92.02,151.67,65.02
98,607462.349915,53.381,61,122.008,22.51,70.065,117.461,65.28,429.43,219.97,91.97,153.56,64.72
99,607462.36105,52.572,72,121.598,22.813,70.119,115.372,65.304,428.8,220.4,92.0,150.64,64.64
100,607462.365153,52.87,71,121.928,22.674,70.077,116.094,65.414,429.2,220.24,91.93,151.52,64.76
101,607462.373684,52.858,65,121.992,22.69,69.882,115.739,66.035,429.38,220.23,91.68,151.41,65.55
102,607462.376474,52.621,69,121.511,22.837,70.075,115.43,65.289,428.79,220.43,91.9,150.98,64.75
103,607462.381684,53.222,69,121.955,22.755,69.835,116.64,65.582,429.21,220.38,91.67,152.07,64.99
104,607462.384841,53.239,67,121.957,22.736,69.864,116.735,65.546,429.31,220.32,91.65,152.51,65.03
105,607462.389174,53.076,67,121.945,22.679,70.023,116.557,65.393,429.37,220.21,91.84,152.36,64.85
106,607462.392479,52.542,71,121.485,22.944,70.04,115.163,65.463,428.75,220.57,91.85,150.64,64.92
107,607462.401747,52.508,67,121.464,22.77,70.145,115.247,64.9,428.73,220.35,91.98,150.77,64.36
108,607462.405872,52.534,64,121.277,22.907,70.0,115.077,64.916,428.49,220.53,91.79,150.55,64.38
109,607462.408541,52.979,68,121.785,22.889,69.889,116.074,65.67,429.02,220.51,91.77,151.32,65.04
110,607462.41487,52.73,70,121.626,22.92,70.01,115.609,65.69,428.94,220.56,91.84,151.18,65.07
111,607462.417139,52.92,70,121.655,22.893,69.961,116.034,65.447,428.92,220.51,91.73,151.69,64.84
112,607462.425522,52.47,66,121.316,22.822,70.056,115.001,64.729,428.52,220.39,91.89,150.4,64.1
113,607462.429679,52.879,67,121.518,22.979,69.87,115.773,65.677,428.82,220.61,91.64,151.37,65.11
114,607462.432572,52.848,73,121.649,22.795,70.058,116.003,65.382,428.94,220.4,91.89,151.63,64.87
115,607462.436587,52.903,71,121.662,22.772,70.015,116.078,65.36,428.84,220.35,91.91,151.56,64.74
116,607462.440663,52.829,73,121.689,22.722,70.041,115.922,65.368,428.94,220.32,91.91,151.35,64.84
117,607462.449854,52.672,66,121.904,22.539,70.197,115.765,65.624,429.24,219.99,92.27,151.22,65.11
118,607462.452392,52.352,72,121.669,22.687,70.256,115.021,65.659,428.99,220.24,92.14,150.44,65.11
119,607462.460953,52.734,66,121.99,22.487,70.239,115.997,65.475,429.3,219.93,92.36,151.28,64.93
120,607462.465754,52.524,71,121.706,22.679,70.251,115.463,65.599,428.91,220.24,92.26,150.66,65.0
121,607462.468931,52.401,72,121.844,22.612,70.266,115.165,65.555,429.15,220.16,92.18,150.53,65.12
122,607462.476959,52.665,69,121.889,22.669,70.118,115.616,65.419,429.19,220.25,91.99,150.95,64.88
123,607462.481022,52.369,70,121.719,22.665,70.223,115.01,65.034,429.06,220.21,92.11,150.3,64.5
124,607462.484572,52.346,74,121.857,22.598,70.357,115.172,65.278,429.21,220.11,92.3,150.44,64.67
125,607462.488829,52.871,63,122.238,22.439,70.198,116.296,65.13,429.72,219.93,92.09,151.87,64.63
126,607462.493611,52.593,71,122.198,22.452,70.328,115.772,65.158,429.7,219.92,92.24,151.34,64.61
127,607462.501553,52.357,71,122.183,22.43,70.405,115.276,65.373,429.61,219.87,92.37,150.54,64.98
128,607462.505223,52.382,77,122.178,22.43,70.433,115.388,65.11,429.56,219.92,92.38,150.69,64.48
129,607462.508493,52.329,74,121.992,22.452,70.487,115.341,65.016,429.41,219.93,92.43,150.86,64.46
130,607462.513615,52.478,67,122.132,22.415,70.4,115.587,64.889,429.62,219.83,92.33,151.24,64.22
131,607462.517245,52.339,71,121.993,22.459,70.439,115.288,64.888,429.42,219.93,92.36,150.8,64.34
132,607462.521031,52.921,67,122.438,22.226,70.392,116.752,64.867,429.92,219.62,92.45,152.44,64.31
133,607462.529264,52.53,68,122.217,22.303,70.532,115.939,64.847,429.68,219.68,92.52,151.6,64.16
134,607462.535056,52.382,71,122.164,22.324,70.549,115.581,64.877,429.65,219.72,92.57,151.2,64.27
135,607462.541138,52.644,68,122.097,22.352,70.469,116.14,64.992,429.48,219.84,92.43,151.67,64.5
136,607462.544407,52.463,72,121.859,22.543,70.418,115.577,65.269,429.24,220.04,92.34,151.18,64.72
