frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
115,605974.907289,54.699,66,-128.719,28.233,74.655,129.188,116.874,147.6,211.8,101.32,174.82,117.46
116,605974.916192,54.733,66,-128.664,28.225,74.758,129.476,116.745,147.7,211.85,101.33,175.33,117.29
117,605974.918966,55.009,66,-129.292,28.145,74.231,129.447,117.358,146.87,211.72,100.72,175.17,117.93
118,605974.923481,54.256,62,-128.537,28.056,75.244,128.806,116.955,147.8,211.56,102.08,174.58,117.49
119,605974.928394,54.82,71,-128.761,28.285,74.517,129.337,116.593,147.57,211.93,101.02,175.06,117.18
120,605974.931129,54.182,63,-128.519,28.043,75.249,128.583,116.92,147.89,211.54,102.13,174.12,117.5
121,605974.935614,54.8,71,-128.746,28.307,74.518,129.275,116.512,147.57,211.9,101.14,174.92,117.08
122,605974.943962,54.761,66,-129.005,27.949,74.872,129.764,116.941,147.19,211.38,101.63,175.7,117.59
123,605974.94751,54.638,64,-128.607,28.34,74.594,128.89,116.684,147.74,211.9,101.33,174.56,117.27
124,605974.950926,54.807,69,-128.788,28.292,74.584,129.413,116.574,147.54,211.89,101.21,175.2,117.15
125,605974.956219,54.868,67,-128.938,28.191,74.626,129.681,116.784,147.3,211.69,101.36,175.63,117.43
126,605974.959805,54.747,66,-128.736,28.324,74.701,129.422,116.706,147.61,211.94,101.37,175.2,117.28
127,605974.967727,54.681,68,-128.83,28.252,74.766,129.324,116.752,147.51,211.86,101.48,174.98,117.32
128,605974.971081,54.891,66,-129.192,28.174,74.474,129.488,117.215,147.03,211.71,101.14,175.28,117.76
129,605974.975149,54.974,66,-128.972,28.283,74.446,129.71,117.088,147.21,211.86,101.01,175.44,117.7
130,605974.983148,55.124,64,-128.964,28.166,74.372,130.065,117.171,147.29,211.73,100.9,176.1,117.75
131,605974.992757,54.716,61,-129.066,28.189,74.251,128.546,117.478,147.22,211.78,100.74,174.07,118.01
132,605974.995655,55.173,64,-128.839,28.157,74.165,129.865,116.982,147.46,211.72,100.62,175.82,117.55
133,605974.99989,54.977,68,-128.809,28.189,74.113,129.137,116.83,147.5,211.75,100.58,174.69,117.43
134,605975.002839,55.211,65,-128.939,28.043,73.973,129.651,117.027,147.33,211.56,100.36,175.54,117.59
135,605975.008517,54.089,62,-128.394,27.673,75.337,128.447,116.954,148.04,211.0,102.31,173.98,117.58
136,605975.011795,54.996,70,-128.674,27.895,74.293,129.514,116.711,147.64,211.32,100.84,175.35,117.34
137,605975.019492,54.589,65,-128.607,27.674,74.918,129.294,116.851,147.79,211.09,101.61,175.04,117.38
138,605975.023883,54.803,69,-128.541,27.867,74.601,129.426,116.61,147.92,211.34,101.24,175.21,117.17
139,605975.031497,53.925,66,-128.349,27.587,75.744,128.632,117.043,148.12,210.93,102.79,174.19,117.63
140,605975.03547,54.59,68,-128.594,27.849,75.016,129.467,116.85,147.82,211.23,101.97,175.23,117.43
141,605975.043335,54.033,66,-128.529,27.733,75.538,128.614,117.182,147.87,211.13,102.51,174.17,117.77
142,605975.047662,54.708,67,-129.138,27.971,74.616,129.152,117.415,147.05,211.46,101.22,174.87,118.01
143,605975.050733,54.12,64,-128.575,27.906,75.46,128.751,117.094,147.81,211.36,102.39,174.35,117.68
144,605975.055509,54.535,72,-128.786,28.084,74.979,129.23,116.844,147.5,211.62,101.69,174.95,117.47
145,605975.059738,54.677,67,-128.857,28.045,74.923,129.585,116.897,147.41,211.54,101.65,175.54,117.49
146,605975.067213,54.473,65,-128.909,27.92,75.181,129.381,116.98,147.36,211.33,102.11,175.18,117.62
147,605975.0794,54.72,70,-128.953,28.11,74.695,129.326,116.878,147.29,211.63,101.38,175.0,117.46
148,605975.083358,55.101,64,-129.191,28.284,74.015,129.367,117.028,147.08,211.95,100.38,175.12,117.49
149,605975.08772,55.161,63,-129.005,28.316,74.065,129.651,116.849,147.24,211.93,100.53,175.29,117.4
150,605975.095672,54.798,68,-128.965,28.084,74.633,129.468,116.807,147.25,211.58,101.28,175.28,117.38
151,605975.099436,54.468,65,-128.86,27.936,75.037,129.116,117.022,147.4,211.4,101.81,174.92,117.57
152,605975.103044,54.822,71,-128.979,28.142,74.466,129.254,116.877,147.27,211.71,101.03,174.86,117.49
153,605975.107334,55.134,64,-128.814,28.327,74.18,129.764,116.826,147.53,211.97,100.66,175.56,117.38
154,605975.111816,55.23,64,-129.107,28.13,74.201,130.111,117.199,147.1,211.68,100.66,176.17,117.77
155,605975.11958,54.552,65,-128.887,27.734,75.273,129.789,117.225,147.38,211.11,102.18,175.63,117.81
156,605975.123184,54.578,67,-128.546,28.216,74.75,128.968,116.834,147.83,211.77,101.45,174.54,117.41
157,605975.126579,54.885,65,-129.126,28.079,74.379,129.307,117.431,147.1,211.62,100.93,174.96,118.02
158,605975.131938,54.885,68,-128.662,28.184,74.494,129.506,116.888,147.73,211.77,101.09,175.26,117.43
159,605975.135905,54.899,68,-128.744,28.098,74.522,129.599,116.978,147.59,211.63,101.11,175.47,117.55
160,605975.143031,54.619,68,-128.566,27.997,74.899,129.356,116.827,147.78,211.43,101.73,175.12,117.41
161,605975.147466,54.805,66,-128.513,28.134,74.624,129.475,116.653,147.91,211.68,101.27,175.28,117.23
162,605975.151185,54.838,68,-128.681,28.138,74.393,129.18,116.786,147.64,211.7,100.94,174.7,117.42
163,605975.160504,54.657,68,-128.582,28.047,74.667,129.077,116.653,147.83,211.52,101.45,174.64,117.19
164,605975.165001,54.771,69,-128.656,28.005,74.587,129.3,116.692,147.75,211.48,101.32,175.02,117.23
165,605975.171329,54.552,67,-128.666,27.892,74.904,129.152,116.792,147.74,211.33,101.72,174.87,117.32
166,605975.1756,54.942,69,-128.788,28.082,74.381,129.493,116.752,147.53,211.61,100.93,175.32,117.33
167,605975.178818,54.256,63,-128.663,27.754,75.337,128.966,117.13,147.7,211.13,102.34,174.69,117.64
168,605975.184149,54.674,70,-128.708,28.047,74.738,129.254,116.928,147.64,211.56,101.42,175.01,117.51
169,605975.187748,54.452,66,-128.562,28.095,74.867,128.772,116.914,147.83,211.63,101.59,174.37,117.49
170,605975.195358,54.272,65,-128.651,27.87,75.255,128.875,117.126,147.68,211.31,102.11,174.59,117.67
171,605975.199344,54.4,66,-128.729,27.893,75.114,129.034,117.084,147.59,211.29,102.05,174.75,117.66
172,605975.202894,54.644,71,-128.8,27.994,74.824,129.305,116.923,147.52,211.49,101.53,175.07,117.5
173,605975.207449,54.869,68,-128.901,28.064,74.5,129.465,116.956,147.37,211.62,101.04,175.18,117.56
174,605975.21248,54.432,67,-128.801,27.817,75.108,129.126,117.116,147.57,211.25,102.0,174.76,117.63
175,605975.215926,54.732,70,-128.793,27.969,74.719,129.406,116.862,147.5,211.44,101.41,175.11,117.45
176,605975.223728,54.829,67,-128.816,27.99,74.589,129.492,116.798,147.47,211.47,101.24,175.21,117.38
177,605975.22651,54.41,65,-128.781,27.801,75.125,129.083,116.992,147.54,211.22,101.95,174.77,117.57
178,605975.232589,54.814,70,-128.878,27.97,74.622,129.5,116.871,147.42,211.41,101.38,175.27,117.47
179,605975.239252,54.607,66,-128.737,28.084,74.776,129.105,116.778,147.58,211.59,101.5,174.7,117.35
180,605975.249002,54.805,68,-128.873,28.149,74.578,129.392,116.824,147.42,211.7,101.19,175.18,117.4
181,605975.251096,53.754,65,-128.491,27.722,75.955,128.465,117.167,147.83,211.08,103.03,174.23,117.73
182,605975.254628,54.779,69,-128.889,28.084,74.704,129.531,116.933,147.4,211.62,101.36,175.38,117.51
183,605975.259772,54.342,65,-128.588,28.1,75.043,128.731,116.867,147.8,211.63,101.84,174.31,117.44
184,605975.263065,54.644,70,-128.775,27.992,74.968,129.556,116.87,147.55,211.48,101.73,175.4,117.45
185,605975.271361,54.043,67,-128.608,27.812,75.556,128.678,117.18,147.77,211.23,102.53,174.25,117.77
186,605975.275405,54.778,67,-129.186,28.015,74.488,129.152,117.405,146.98,211.52,101.05,174.87,118.0
187,605975.278859,54.762,67,-128.651,28.077,74.721,129.505,116.769,147.72,211.6,101.4,175.32,117.34
188,605975.284322,54.767,68,-128.73,27.953,74.732,129.541,116.808,147.64,211.44,101.39,175.47,117.38
189,605975.287573,54.65,67,-128.595,28.042,74.679,129.074,116.74,147.74,211.53,101.35,174.76,117.29
190,605975.291173,54.712,69,-128.576,28.072,74.558,129.063,116.764,147.86,211.63,101.15,174.64,117.31
191,605975.299227,54.473,66,-128.614,27.755,75.086,129.217,116.932,147.79,211.09,102.09,174.95,117.53
192,605975.303527,54.809,69,-128.598,27.968,74.593,129.432,116.72,147.76,211.44,101.25,175.13,117.3
